symbol,rank,indurank,indutotal,etf,abrt,abr1w,abr1m,abr2m,abr3m,numbr
ITCI,3,69,265,0,1.00,1.00,1.00,1.00,1.00,4
KNL,3,115,265,0,2.50,2.50,2.50,2.50,2.50,2
BAX,4,,,,,,,,,
BAF,-1,,,,,,,,,
DPO,-1,,,,,,,,,
BAC,4,,,,,,,,,
TRLA,3,94,265,0,2.71,2.71,2.71,2.71,2.71,7
RNDY,4,,,,,,,,,
BAM,2,153,265,0,1.75,1.75,1.75,1.75,1.75,4
DPM,3,175,265,0,1.81,1.75,1.75,1.92,1.92,12
BAH,1,12,265,0,2.10,2.10,2.40,2.40,2.40,10
QLTY,4,,,,,,,,,
SBRAP,-1,,,,,,,,,
QLTI,3,78,265,0,3.00,3.00,3.00,3.00,3.00,2
EQS,0,,,,,,,,,
STE,3,78,265,0,2.00,2.00,2.00,2.00,2.00,5
RXII,3,78,265,0,1.00,1.00,1.00,1.00,1.00,2
NEOG,4,,,,,,,,,
STB,4,,,,,,,,,
STC,3,32,265,0,3.00,3.00,3.00,3.00,3.00,2
STL,3,82,265,0,1.75,1.80,1.80,1.80,1.80,4
STM,1,32,265,0,3.25,3.25,3.25,3.20,3.20,4
STN,1,85,265,0,2.38,2.38,2.38,2.38,2.38,8
STO,5,,,,,,,,,
NEON,3,152,265,0,1.00,1.00,1.00,1.00,1.00,1
STI,3,167,265,0,2.15,2.05,2.10,2.10,2.14,20
STJ,3,114,265,0,1.69,1.69,1.75,1.72,1.77,21
STK,-1,,,,,,,,,
STT,3,167,265,0,2.31,2.31,2.21,2.31,2.21,12
HTLD,2,24,265,0,2.77,2.77,2.77,2.77,2.77,10
FDUS,3,107,265,0,1.00,1.00,1.00,1.50,1.50,4
NEOT,0,,,,,,,,,
STS,0,,,,,,,,,
STX,3,41,265,0,2.08,2.08,2.08,2.10,2.10,18
STZ,2,208,265,0,2.19,2.36,2.17,2.14,2.14,8
TFM,3,184,265,0,2.41,2.56,2.56,2.62,2.49,13
NCZ,-1,,,,,,,,,
AGCO,3,115,265,0,3.14,3.14,3.13,3.13,3.13,14
NCQ,3,187,265,0,1.00,1.00,1.00,1.00,1.00,2
TFG,-1,,,,,,,,,
NCS,3,34,265,0,1.80,1.80,1.80,1.80,1.80,5
NCT,5,,,,,,,,,
NCV,0,,,,,,,,,
ENRJ,0,,,,,,,,,
NCI,3,85,265,0,3.00,3.00,3.00,3.00,3.00,5
TFX,3,89,265,0,2.57,2.38,2.19,2.19,2.19,7
NCA,0,,,,,,,,,
NCB,-1,,,,,,,,,
FNV,3,156,265,0,3.33,3.00,3.00,3.00,3.00,6
IFMI,0,,,,,,,,,
LIN,-1,,,,,,,,,
LII,3,115,265,0,2.10,2.10,2.10,2.10,2.10,10
FNF,3,32,265,0,1.20,1.20,1.20,1.20,1.20,5
IGOV,0,,,,,,,,,
FNB,3,99,265,0,2.33,2.33,2.20,2.11,2.20,9
PDEX,0,,,,,,,,,
ACG,0,,,,,,,,,
CLVS,3,69,265,0,1.00,1.00,1.00,1.00,1.00,6
DLHC,0,,,,,,,,,
RGEN,4,,,,,,,,,
QGEN,3,69,265,0,2.54,2.64,2.47,2.47,2.43,13
ACH,0,,,,,,,,,
