symbol,rank,indurank,indutotal,etf,abrt,abr1w,abr1m,abr2m,abr3m,numbr
VII,0,,,,,,,,,
JPM/WS,-1,,,,,,,,,
CNS,2,153,265,0,2.50,2.50,2.50,2.50,2.50,2
RVBD,3,41,265,0,3.00,3.00,3.00,2.82,2.82,20
ICL,3,158,265,0,2.00,2.00,2.00,2.00,NA,2
BCS,3,194,265,0,1.60,1.50,1.50,1.50,1.50,5
LABC,0,,,,,,,,,
DHIL,0,,,,,,,,,
BERY,3,24,265,0,1.00,1.00,1.00,1.29,1.29,7
LABL,3,228,265,0,1.50,1.50,1.50,1.50,1.50,2
ICE,3,18,265,0,1.82,1.82,1.82,1.82,1.64,11
VOD,5,,,,,,,,,
VOC,4,,,,,,,,,
FB,1,72,265,0,1.25,1.25,1.25,1.25,1.28,32
VNET,3,72,265,0,1.90,1.90,1.90,1.42,1.42,5
CZFC,0,,,,,,,,,
MDVXU,-1,,,,,,,,,
FOSL,4,,,,,,,,,
IMDZ,3,78,265,0,1.67,1.67,1.67,1.67,1.00,3
STOR,3,60,265,0,2.00,2.20,2.20,NA,NA,6
STON,3,115,265,0,2.00,2.00,2.00,2.00,2.00,1
IRDM,3,66,265,0,1.40,1.40,1.40,1.40,1.40,5
ELTK,0,,,,,,,,,
FUR,3,69,265,0,3.00,3.00,3.00,3.00,3.00,1
RSYS,0,,,,,,,,,
VCSH,3,,,1,,,,,,
MINI,2,72,265,0,1.67,1.67,2.00,2.00,2.00,6
MIND,4,,,,,,,,,
GCAP,1,45,265,0,2.00,2.00,2.00,2.00,2.00,3
PFH,-1,,,,,,,,,
CIB,5,,,,,,,,,
CIA,0,,,,,,,,,
MRTN,2,24,265,0,2.20,2.20,2.20,2.20,2.20,5
CIG,3,93,265,0,4.50,4.50,4.00,4.00,4.00,2
CIF,0,,,,,,,,,
CIE,3,245,265,0,1.44,1.44,1.44,1.44,1.50,9
CIK,0,,,,,,,,,
CII,-1,,,,,,,,,
CIO,3,69,265,0,1.00,1.00,1.00,1.00,1.00,3
CIM,3,60,265,0,3.40,3.40,3.40,3.40,3.40,5
DXR,0,,,,,,,,,
BBSI,3,69,265,0,1.00,1.00,1.00,1.00,1.00,2
CIR,4,,,,,,,,,
CIT,2,87,265,0,1.54,1.54,1.54,1.54,1.54,12
CIZ,0,,,,,,,,,
PFN,-1,,,,,,,,,
OXBRW,-1,,,,,,,,,
FEMB,0,,,,,,,,,
KFFB,0,,,,,,,,,
DAC,2,113,265,0,3.00,3.00,3.00,3.00,3.00,1
DAL,1,9,265,0,1.27,1.27,1.27,1.09,1.09,11
DAN,2,82,265,0,2.09,2.09,2.09,2.09,2.20,11
PFS,3,82,265,0,1.50,1.60,1.60,1.60,1.60,4
DAR,0,,,,,,,,,
DAX,0,,,,,,,,,
PETX,1,78,265,0,1.00,1.00,1.00,1.00,1.00,6
MICTW,-1,,,,,,,,,
CFBK,0,,,,,,,,,
CUBE,2,69,265,0,2.11,2.11,2.22,2.22,2.22,9
CUBA,0,,,,,,,,,
AEZS,3,69,265,0,3.00,3.00,3.00,3.00,NA,1
SNTA,3,69,265,0,3.00,3.00,3.00,3.00,3.00,4
CMSB,0,,,,,,,,,
MACK,3,69,265,0,1.00,1.00,1.00,1.00,1.00,4
DSGX,3,152,265,0,1.50,1.50,1.50,1.20,1.25,6
DXB,-1,,,,,,,,,
AGO,3,154,265,0,1.33,1.33,1.33,1.33,1.33,3
AGN,2,194,265,0,2.43,2.43,2.43,2.14,1.86,14
AGM,3,224,265,0,2.00,2.00,2.00,2.00,2.00,1
ORMP,0,,,,,,,,,
AGI,4,,,,,,,,,
AGD,-1,,,,,,,,,
AGC,-1,,,,,,,,,
NYT,2,52,265,0,2.71,2.71,2.71,2.71,2.71,7
NYH,-1,,,,,,,,,
ERII,3,191,265,0,3.67,3.67,3.67,3.67,3.67,3
AGU,3,240,265,0,2.50,2.50,2.50,2.44,2.47,18
ERIE,2,72,265,0,2.00,2.00,2.00,2.00,2.00,2
ERIC,4,,,,,,,,,
BWP,3,175,265,0,2.22,2.22,2.22,2.44,2.44,9
BWS,1,115,265,0,1.80,1.80,1.83,2.33,1.67,5
SCLN,3,78,265,0,3.00,3.00,3.00,3.00,NA,1
TINY,0,,,,,,,,,
BWA,3,82,265,0,1.33,1.33,1.33,1.33,1.33,12
BWC,2,221,265,0,2.14,2.14,2.14,2.14,2.14,7
BWG,-1,,,,,,,,,
CTLT,4,,,,,,,,,
GLADO,-1,,,,,,,,,
TDI,-1,,,,,,,,,
MAS,2,34,265,0,2.13,2.13,2.06,2.00,2.12,15
MAR,3,50,265,0,2.21,2.21,2.21,2.21,2.11,19
MAT,4,,,,,,,,,
MAV,-1,,,,,,,,,
SNN,3,114,265,0,2.33,2.00,2.00,2.00,2.00,6
HIVE,3,45,265,0,1.40,1.40,1.40,1.40,1.00,5
SNI,4,,,,,,,,,
XRAY,3,78,265,0,2.40,2.40,2.20,2.20,2.20,10
MAC,2,60,265,0,2.80,2.80,2.67,2.36,2.19,15
ACLS,2,28,265,0,1.00,1.25,1.25,1.25,1.25,3
SNR,0,,,,,,,,,
MAG,0,,,,,,,,,
TDA,-1,,,,,,,,,
SNX,1,41,265,0,1.60,1.60,1.40,1.40,1.40,5
MAN,4,,,,,,,,,
EVI,0,,,,,,,,,
EVM,-1,,,,,,,,,
EVN,0,,,,,,,,,
EVO,0,,,,,,,,,
NMZ,0,,,,,,,,,
EVC,3,189,265,0,2.33,2.33,2.33,1.67,1.67,3
EVF,0,,,,,,,,,
EVG,-1,,,,,,,,,
EVY,0,,,,,,,,,
DSWL,0,,,,,,,,,
EVP,0,,,,,,,,,
EVR,3,45,265,0,1.33,1.29,1.33,1.33,1.33,6
EVT,0,,,,,,,,,
ESPR,4,,,,,,,,,
EVV,0,,,,,,,,,
LSG,3,156,265,0,1.00,1.00,1.00,1.00,1.00,1
GRP/U,-1,,,,,,,,,
WSBF,0,,,,,,,,,
WSBC,2,99,265,0,2.71,2.71,2.71,2.75,2.63,7
SLRC,3,107,265,0,2.14,2.14,2.14,2.14,2.14,7
SLRA,-1,,,,,,,,,
FTCS,3,,,1,,,,,,
KKR,3,153,265,0,1.50,1.50,1.50,1.56,1.56,11
NTES,1,78,265,0,1.00,1.33,1.29,1.57,1.57,6
KKD,3,41,265,0,1.00,1.00,1.00,1.00,1.00,3
CTT,2,69,265,0,1.33,1.33,1.33,1.33,1.33,3
CTU,-1,,,,,,,,,
CTV,-1,,,,,,,,,
CTW,-1,,,,,,,,,
CTP,3,94,265,0,1.00,1.00,1.00,1.00,1.00,3
CTQ,-1,,,,,,,,,
CTR,-1,,,,,,,,,
CTS,3,111,265,0,1.00,1.00,1.00,1.00,1.00,2
SPPI,3,78,265,0,1.67,1.67,1.67,1.67,1.00,3
CTY,-1,,,,,,,,,
GWGH,0,,,,,,,,,
CWEI,3,245,265,0,2.20,2.20,1.80,1.50,1.50,5
CTF,0,,,,,,,,,
CTG,3,167,265,0,2.00,2.00,2.00,2.00,2.00,2
CTB,3,208,265,0,2.33,2.33,2.67,3.00,2.60,6
SPPR,0,,,,,,,,,
CTL,4,,,,,,,,,
SNA,3,2,265,0,1.50,1.50,1.50,1.50,1.50,4
MOBI,0,,,,,,,,,
MOBL,3,87,265,0,1.20,1.20,1.20,1.20,1.20,5
QCCO,0,,,,,,,,,
FCLF,0,,,,,,,,,
GOODP,-1,,,,,,,,,
YOKU,3,105,265,0,2.43,2.43,2.43,2.43,2.43,7
HWCC,3,228,265,0,3.67,3.67,3.67,3.67,3.67,3
GOODN,-1,,,,,,,,,
GOODO,-1,,,,,,,,,
ORN,2,179,265,0,1.40,1.40,1.40,1.40,1.50,5
ORM,0,,,,,,,,,
ORI,3,154,265,0,2.50,2.50,2.50,2.67,2.67,2
OCRX,3,69,265,0,1.00,1.00,1.00,1.00,1.00,1
EVER,4,,,,,,,,,
ORC,3,224,265,0,1.00,1.00,1.00,1.00,1.00,2
EVEP,3,245,265,0,2.11,2.11,2.11,2.11,2.00,9
ORA,3,24,265,0,4.00,4.00,4.00,4.00,4.00,2
PSEC,3,153,265,0,2.20,2.20,2.20,1.91,1.91,10
FARM,3,89,265,0,1.00,1.00,1.00,1.00,1.00,3
FARO,4,,,,,,,,,
PSEM,3,99,265,0,1.50,1.50,1.50,1.50,1.50,2
SIFI,0,,,,,,,,,
FSYS,3,82,265,0,2.50,2.50,2.50,2.50,2.50,4
SIFY,0,,,,,,,,,
MNDL,3,189,265,0,1.00,1.00,1.00,1.00,1.00,3
MNDO,0,,,,,,,,,
CALX,3,102,265,0,1.80,1.80,1.80,1.80,1.80,5
CIEN,3,115,265,0,1.47,1.47,1.47,1.35,1.38,17
CALI,0,,,,,,,,,
CALL,3,87,265,0,3.00,3.00,3.00,3.00,3.00,2
CALM,0,,,,,,,,,
CALA,3,78,265,0,1.00,1.00,1.00,1.00,NA,3
CALD,2,152,265,0,1.00,1.00,1.00,1.00,1.00,6
UTEK,3,28,265,0,1.67,1.67,1.67,1.67,1.80,6
ZAYO,2,102,265,0,1.50,1.50,1.50,1.00,NA,10
AMZN,3,66,265,0,1.85,1.85,1.85,1.85,1.83,30
AGMX,-1,,,,,,,,,
SNV,3,99,265,0,2.50,2.50,2.50,2.50,2.50,12
ZIV,0,,,,,,,,,
CVSL,-1,,,,,,,,,
XTLB,0,,,,,,,,,
DAKP,0,,,,,,,,,
DAKT,4,,,,,,,,,
EGOV,3,87,265,0,2.20,2.20,2.20,2.20,1.50,5
NNBR,5,,,,,,,,,
DXPE,5,,,,,,,,,
DXPS,0,,,,,,,,,
PFNX,3,69,265,0,1.00,1.00,1.00,1.00,1.00,3
GASS,5,,,,,,,,,
USMD,0,,,,,,,,,
ITRI,4,,,,,,,,,
VG,1,189,265,0,1.25,1.25,1.25,1.25,1.25,4
RPRX,2,69,265,0,1.50,1.50,1.50,1.50,1.50,4
BOBE,2,41,265,0,2.00,2.00,2.40,2.20,2.20,5
SUBK,3,82,265,0,3.00,3.00,3.00,3.00,3.00,1
RICE,4,,,,,,,,,
OVLY,0,,,,,,,,,
XCO,4,,,,,,,,,
CREE,3,115,265,0,2.93,2.93,2.93,2.93,3.00,14
CREG,0,,,,,,,,,
DYNT,0,,,,,,,,,
TSL,4,,,,,,,,,
WYY,3,52,265,0,1.00,1.00,1.00,1.00,1.00,2
WYN,3,50,265,0,1.29,1.29,1.29,1.50,1.50,7
PGTI,3,34,265,0,2.00,2.00,2.00,2.00,2.00,6
SCCO,3,187,265,0,1.89,2.00,2.00,2.00,2.00,9
HBMD,0,,,,,,,,,
ETFC,3,45,265,0,1.50,1.64,1.82,1.82,1.82,10
B,4,,,,,,,,,
FPXI,0,,,,,,,,,
SHIP,0,,,,,,,,,
BSQR,0,,,,,,,,,
VMO,0,,,,,,,,,
VMM,0,,,,,,,,,
VMI,4,,,,,,,,,
TUP,4,,,,,,,,,
VMC,1,115,265,0,2.64,2.64,2.64,2.64,2.64,11
VMW,3,152,265,0,1.96,1.96,1.96,1.77,1.80,27
ALCO,0,,,,,,,,,
HCLP,3,220,265,0,1.36,1.36,1.36,1.55,1.55,11
CLGX,3,85,265,0,1.57,1.57,1.57,1.57,1.57,7
AGRX,3,94,265,0,1.25,1.25,1.25,1.33,1.25,4
STMP,2,66,265,0,1.67,1.67,1.67,1.67,2.33,3
AGRO,4,,,,,,,,,
STML,3,69,265,0,1.00,1.00,1.00,1.00,1.00,4
KRNY,3,82,265,0,3.00,3.00,3.00,3.00,3.00,1
UNT,5,,,,,,,,,
RDIB,-1,,,,,,,,,
BLCM,3,78,265,0,1.00,NA,NA,NA,NA,2
HMHC,5,,,,,,,,,
ROKA,2,89,265,0,2.25,2.25,2.00,2.00,1.00,4
WHFBL,-1,,,,,,,,,
TSS,3,171,265,0,2.40,2.40,2.31,2.31,2.27,15
CCCR,0,,,,,,,,,
OSTK,3,66,265,0,1.00,1.00,1.00,1.00,2.50,1
TANN,-1,,,,,,,,,
SKIS,3,50,265,0,1.00,1.00,1.00,NA,NA,5
MILL,3,245,265,0,1.50,1.50,1.50,1.00,1.00,4
CCCL,0,,,,,,,,,
QSR,3,41,265,0,1.83,1.83,3.00,NA,NA,3
WIBC,3,85,265,0,1.20,1.20,1.20,1.20,1.20,5
PAR,0,,,,,,,,,
WHLM,0,,,,,,,,,
PAY,3,171,265,0,2.00,2.00,2.00,2.13,2.13,15
CKH,0,,,,,,,,,
PAA,4,,,,,,,,,
PAC,3,181,265,0,3.83,3.83,3.83,3.83,3.83,6
CKP,0,,,,,,,,,
WHLR,0,,,,,,,,,
PAH,0,,,,,,,,,
PAI,0,,,,,,,,,
PAL,3,220,265,0,5.00,5.00,5.00,5.00,5.00,2
KATE,2,89,265,0,1.88,1.88,1.63,1.88,1.71,8
DCO,3,107,265,0,1.67,1.67,1.67,1.50,1.50,3
DCM,5,,,,,,,,,
PERF,0,,,,,,,,,
DCI,4,,,,,,,,,
ININ,2,152,265,0,1.40,1.40,1.40,1.40,1.80,5
PERI,3,105,265,0,2.00,2.00,2.00,2.00,2.00,2
LKFN,2,89,265,0,1.80,1.80,1.80,1.80,1.80,5
DCA,-1,,,,,,,,,
THRX,3,69,265,0,3.26,3.26,3.26,2.86,2.86,5
UAMY,0,,,,,,,,,
PERY,3,105,265,0,2.75,2.75,2.40,2.40,2.40,4
AETI,0,,,,,,,,,
DRRX,3,78,265,0,2.33,2.33,2.33,2.00,1.00,3
SGNT,3,78,265,0,2.71,2.71,2.71,2.71,2.71,7
SGNL,0,,,,,,,,,
OII,4,,,,,,,,,
IHS,3,194,265,0,2.15,2.15,2.15,2.00,1.85,13
OIA,0,,,,,,,,,
IHC,0,,,,,,,,,
OIS,5,,,,,,,,,
IHG,2,50,265,0,3.17,3.17,3.14,3.14,3.14,6
IHD,0,,,,,,,,,
CONE,3,69,265,0,1.45,1.45,1.45,1.45,1.59,11
AEP,3,93,265,0,2.15,2.15,2.00,2.00,2.00,13
AES,3,93,265,0,1.70,1.70,1.78,1.70,1.67,10
AER,2,194,265,0,2.11,2.11,2.00,2.00,2.00,9
AET,3,63,265,0,1.74,1.74,1.74,1.74,1.74,17
AEY,0,,,,,,,,,
GBL,2,153,265,0,4.00,4.00,4.00,4.00,4.00,1
CVTS,-1,,,,,,,,,
CBSHP,-1,,,,,,,,,
GPRK,1,245,265,0,1.00,1.00,1.00,1.00,1.00,2
AEC,4,,,,,,,,,
AEB,-1,,,,,,,,,
AEE,3,93,265,0,2.56,2.56,2.56,2.56,2.56,9
AED,-1,,,,,,,,,
AEG,5,,,,,,,,,
LPCN,3,78,265,0,1.00,1.00,1.00,1.00,1.00,2
MHGC,0,,,,,,,,,
AEK,-1,,,,,,,,,
AEM,3,156,265,0,1.91,2.03,2.03,2.03,1.97,17
AEL,3,165,265,0,2.33,2.33,2.33,2.33,1.67,3
GBX,1,23,265,0,1.78,1.78,2.00,2.00,2.00,9
BUR,2,161,265,0,1.00,1.00,1.00,1.00,1.00,1
PRLS,0,,,,,,,,,
TRXC,2,89,265,0,1.20,NA,NA,NA,NA,5
BUI,-1,,,,,,,,,
PRLB,3,115,265,0,1.56,1.56,1.56,1.63,1.63,9
MEET,0,,,,,,,,,
BUD,4,,,,,,,,,
MSCI,3,41,265,0,2.50,2.50,2.50,2.50,2.50,8
MSCA,-1,,,,,,,,,
MSCC,3,50,265,0,1.83,1.83,1.83,1.50,1.50,6
GNTX,3,82,265,0,2.00,2.00,2.00,2.13,2.13,8
MOS,4,,,,,,,,,
IMKTA,1,184,265,0,1.00,1.00,1.00,1.00,1.00,1
ACNB,0,,,,,,,,,
MOV,3,52,265,0,3.00,3.00,3.00,3.00,2.00,3
MOH,3,63,265,0,2.23,2.23,2.23,2.23,2.38,13
MON,3,167,265,0,1.38,1.38,1.38,1.38,1.38,16
MOC,0,,,,,,,,,
RCON,0,,,,,,,,,
MOD,2,82,265,0,2.00,2.00,2.00,2.00,2.00,2
ETR,3,93,265,0,2.92,2.92,2.82,2.94,3.03,12
KMF,-1,,,,,,,,,
ETP,3,175,265,0,1.58,1.58,1.58,1.75,1.69,12
ETV,-1,,,,,,,,,
ETW,-1,,,,,,,,,
ETX,-1,,,,,,,,,
ETY,0,,,,,,,,,
KMI,3,175,265,0,1.64,1.64,1.55,1.55,1.55,11
ETB,-1,,,,,,,,,
KMT,4,,,,,,,,,
ETF,0,,,,,,,,,
ETG,-1,,,,,,,,,
ETE,3,175,265,0,1.25,1.25,1.25,1.25,1.13,8
ETJ,-1,,,,,,,,,
ETH,3,34,265,0,2.29,2.29,2.29,2.29,2.29,7
ETN,4,,,,,,,,,
ETO,-1,,,,,,,,,
ETM,3,189,265,0,2.00,2.00,2.00,2.00,2.00,2
DLTR,2,47,265,0,1.79,1.68,1.65,1.55,1.50,19
LLEX,0,,,,,,,,,
MDAS,3,47,265,0,2.31,2.31,2.31,2.19,2.06,16
RVP,0,,,,,,,,,
SSRI,3,236,265,0,1.50,1.50,1.50,1.50,1.50,4
ROVI,3,72,265,0,1.80,2.00,2.00,2.00,2.14,5
RVT,0,,,,,,,,,
BAGR,3,41,265,0,2.00,2.00,2.00,2.00,2.00,2
RLJE,0,,,,,,,,,
UEIC,3,158,265,0,2.25,2.25,2.25,2.25,1.75,4
CVX,5,,,,,,,,,
CVV,0,,,,,,,,,
CVT,4,,,,,,,,,
CVU,3,107,265,0,1.00,1.00,1.00,1.00,1.00,2
CVR,0,,,,,,,,,
CVS,2,52,265,0,1.34,1.34,1.34,1.45,1.42,19
CVO,5,,,,,,,,,
CVM,5,,,,,,,,,
INTLL,-1,,,,,,,,,
CVI,5,,,,,,,,,
CVG,2,69,265,0,2.00,2.00,2.00,2.00,2.00,6
CVD,4,,,,,,,,,
CVE,5,,,,,,,,,
CVB,-1,,,,,,,,,
CVC,3,194,265,0,2.88,2.88,2.74,2.74,2.74,14
CVA,2,24,265,0,1.67,1.67,1.67,1.22,1.00,9
MODN,2,87,265,0,2.20,2.20,2.20,2.20,2.20,5
RGSE,3,115,265,0,3.00,3.00,3.00,3.00,3.00,2
BIO,5,,,,,,,,,
LUK,0,,,,,,,,,
Y,3,32,265,0,3.00,3.00,3.00,3.00,3.00,1
ARDC,-1,,,,,,,,,
ARDM,3,78,265,0,1.00,1.00,1.00,1.00,1.00,1
IPKW,3,,,1,,,,,,
CNDO,3,69,265,0,4.00,4.00,4.00,4.00,3.50,1
ARDX,3,78,265,0,1.00,1.00,1.00,1.00,1.00,3
CANF,2,78,265,0,1.00,1.00,1.00,1.00,1.00,2
WDC,3,41,265,0,1.38,1.38,1.38,1.41,1.50,17
FATE,3,69,265,0,1.00,1.00,1.00,1.00,1.00,2
GRBK,0,,,,,,,,,
WDR,4,,,,,,,,,
WTSL,0,,,,,,,,,
TTPH,2,78,265,0,1.14,1.14,1.14,1.14,1.14,7
NVSL,0,,,,,,,,,
CIMT,3,152,265,0,1.00,1.00,1.00,1.00,1.00,1
ASBCW,-1,,,,,,,,,
BIS,0,,,,,,,,,
JRVR,3,154,265,0,1.25,1.25,NA,NA,NA,4
HCSG,3,112,265,0,1.50,1.50,1.50,1.50,1.50,4
ELMD,2,89,265,0,2.00,2.00,2.00,2.00,2.00,1
GTXI,3,69,265,0,3.00,3.00,3.00,3.00,3.00,3
LGCYP,-1,,,,,,,,,
PBR/A,-1,,,,,,,,,
LGCYO,-1,,,,,,,,,
EGAN,3,87,265,0,1.00,1.00,1.00,1.00,1.00,3
LVNTA,1,66,265,0,1.00,1.00,1.00,1.00,1.00,1
SCVL,1,89,265,0,2.00,2.00,1.67,1.67,1.67,4
LVNTB,0,,,,,,,,,
UBOH,0,,,,,,,,,
EGAS,0,,,,,,,,,
ESTE,3,245,265,0,1.25,1.25,1.25,1.00,1.00,4
CGEN,3,69,265,0,1.00,1.00,1.00,1.00,1.00,3
GAME,3,105,265,0,3.70,3.70,2.35,2.35,2.35,1
REPH,4,,,,,,,,,
PFLT,2,153,265,0,1.50,1.50,1.50,1.50,1.50,2
HDSN,3,102,265,0,1.00,1.00,1.00,1.00,1.00,3
SLB,5,,,,,,,,,
AMFW,-1,,,,,,,,,
HUSA,0,,,,,,,,,
VIAB,3,115,265,0,2.26,2.26,2.26,2.23,2.23,23
XEC,5,,,,,,,,,
XEL,2,93,265,0,2.57,2.57,2.54,2.69,2.69,14
AXPWW,-1,,,,,,,,,
VIAS,3,111,265,0,2.00,2.00,2.00,2.00,2.00,2
HQY,2,47,265,0,1.60,1.60,1.60,1.60,1.60,5
IDSA,0,,,,,,,,,
KOOL,3,89,265,0,1.00,1.00,1.00,1.00,1.00,2
TWI,3,115,265,0,2.60,2.60,2.60,2.60,2.60,5
TWN,0,,,,,,,,,
TWO,4,,,,,,,,,
HQH,0,,,,,,,,,
GNMA,0,,,,,,,,,
HQL,0,,,,,,,,,
TWX,3,115,265,0,1.29,1.29,1.29,1.30,1.38,24
GNMK,2,89,265,0,1.33,1.33,1.33,1.33,1.33,3
VEEV,2,87,265,0,1.31,1.31,1.56,1.64,1.31,8
JTPY,3,171,265,0,NA,NA,NA,NA,NA,NA
SHOR,2,45,265,0,1.00,1.00,1.00,1.00,1.00,5
SHOS,0,,,,,,,,,
SHOO,4,,,,,,,,,
VSR,0,,,,,,,,,
GFF,0,,,,,,,,,
WBAI,5,,,,,,,,,
TOUR,3,105,265,0,3.00,3.00,3.00,3.00,3.00,2
VSH,3,115,265,0,1.80,1.80,1.80,1.80,1.50,5
VSI,3,89,265,0,2.29,2.29,2.21,2.32,1.89,12
EOC,2,93,265,0,3.00,3.00,3.00,3.00,3.00,2
RYL,3,181,265,0,2.00,2.18,2.18,2.18,2.18,10
EOG,5,,,,,,,,,
RYI,3,208,265,0,1.33,1.33,1.17,1.17,1.20,6
UBCP,0,,,,,,,,,
EOI,0,,,,,,,,,
EXLS,3,69,265,0,2.11,2.33,2.33,2.40,2.40,9
EXLP,3,241,265,0,2.29,2.29,2.29,2.17,2.17,7
EOS,-1,,,,,,,,,
EOT,-1,,,,,,,,,
EOX,4,,,,,,,,,
ROIC,2,60,265,0,3.25,3.25,3.25,3.25,2.80,4
ROIA,0,,,,,,,,,
STKL,3,161,265,0,2.00,2.00,2.00,3.00,3.00,4
OCAT,0,,,,,,,,,
ROIQ,0,,,,,,,,,
PTX,0,,,,,,,,,
PBHC,0,,,,,,,,,
CUBIL,-1,,,,,,,,,
WILN,0,,,,,,,,,
QQQ,2,,,1,,,,,,
SR,0,,,,,,,,,
WILC,0,,,,,,,,,
CMO,3,60,265,0,2.60,2.20,2.20,2.20,2.20,5
CMN,0,,,,,,,,,
CMK,-1,,,,,,,,,
CMI,2,115,265,0,1.67,1.67,1.80,1.80,1.82,15
CMG,3,41,265,0,2.02,2.02,2.02,2.02,2.02,21
CME,2,18,265,0,2.45,2.27,2.09,2.20,2.17,11
PCQ,-1,,,,,,,,,
CMC,2,208,265,0,2.14,2.14,2.14,2.14,2.14,7
CMA,3,167,265,0,2.71,2.79,2.78,2.78,2.78,24
PCK,0,,,,,,,,,
ASEI,3,107,265,0,2.33,2.33,2.33,2.33,2.00,3
PCI,-1,,,,,,,,,
PCN,-1,,,,,,,,,
PCO,0,,,,,,,,,
PCL,4,,,,,,,,,
PCM,0,,,,,,,,,
CMU,0,,,,,,,,,
CMT,0,,,,,,,,,
CMS,2,93,265,0,2.08,2.08,2.00,2.10,2.10,12
PCG,2,93,265,0,1.75,1.71,2.14,2.04,2.38,12
CMP,3,224,265,0,1.75,1.75,2.25,2.50,2.60,4
INGN,1,89,265,0,1.40,1.40,1.40,1.40,1.50,5
UACL,4,,,,,,,,,
VONV,1,,,1,,,,,,
FEIM,0,,,,,,,,,
FLWS,3,34,265,0,1.67,1.67,1.67,1.67,1.67,3
VONG,3,,,1,,,,,,
VONE,2,,,1,,,,,,
INGR,4,,,,,,,,,
MTEX,0,,,,,,,,,
OKS,3,175,265,0,2.42,2.42,2.33,2.33,2.33,12
INZ,-1,,,,,,,,,
INT,1,154,265,0,2.00,2.00,2.00,2.00,3.00,2
GBIM,0,,,,,,,,,
INS,0,,,,,,,,,
INN,1,69,265,0,1.86,1.86,1.86,1.75,1.75,7
TENX,3,69,265,0,1.00,1.00,1.00,1.00,1.00,2
NDAQ,3,18,265,0,1.80,1.80,1.80,1.90,1.90,10
UHS,2,29,265,0,1.60,1.60,1.47,1.47,1.47,15
IND,-1,,,,,,,,,
INF,0,,,,,,,,,
ING,4,,,,,,,,,
INB,-1,,,,,,,,,
GLO,-1,,,,,,,,,
AKS,4,,,,,,,,,
AKR,2,60,265,0,2.20,2.20,2.20,2.20,2.20,5
AKP,-1,,,,,,,,,
ORIT,3,82,265,0,2.33,2.25,2.25,2.25,2.25,3
APAGF,0,,,,,,,,,
FSBW,0,,,,,,,,,
GLP,2,154,265,0,2.50,2.50,2.50,2.50,2.67,6
GLQ,-1,,,,,,,,,
GLT,2,27,265,0,1.00,1.00,1.00,1.00,1.00,2
GLU,-1,,,,,,,,,
GLV,-1,,,,,,,,,
ORIG,2,218,265,0,1.33,1.33,1.33,1.33,1.33,3
SCHW,3,45,265,0,2.58,2.62,2.62,2.62,2.62,12
BSX,3,114,265,0,1.83,1.83,2.02,2.02,1.98,21
QRHC,2,115,265,0,1.00,1.00,1.00,1.00,1.00,2
BST,-1,,,,,,,,,
VLCCF,5,,,,,,,,,
BSL,-1,,,,,,,,,
BSI,0,,,,,,,,,
CAR,3,112,265,0,2.33,2.33,2.33,2.33,2.33,6
SCHN,4,,,,,,,,,
BSE,-1,,,,,,,,,
CISG,2,72,265,0,1.00,1.00,1.00,1.00,1.00,1
F,3,171,265,0,2.36,2.36,2.36,2.21,2.21,14
CTHR,3,115,265,0,1.00,1.00,1.00,1.00,1.00,1
KNDI,0,,,,,,,,,
RDVY,0,,,,,,,,,
MATR,3,52,265,0,1.00,1.00,1.00,1.00,1.00,2
AVY,4,,,,,,,,,
SBR,0,,,,,,,,,
SBS,3,63,265,0,3.00,3.00,3.00,3.00,3.00,4
ACPW,2,111,265,0,1.00,1.00,1.00,1.00,1.00,1
SBW,0,,,,,,,,,
RCMT,0,,,,,,,,,
MMU,0,,,,,,,,,
MMT,0,,,,,,,,,
SBY,3,177,265,0,2.33,2.33,2.33,2.33,2.50,3
MMP,3,175,265,0,1.85,1.85,1.85,2.00,1.93,13
MMS,3,12,265,0,1.60,1.60,1.60,1.60,1.60,5
MMM,3,184,265,0,2.41,2.41,2.41,2.10,2.10,13
MMI,3,107,265,0,1.00,1.00,1.00,1.00,1.00,1
MMD,-1,,,,,,,,,
SBH,3,52,265,0,1.71,1.71,1.77,1.65,1.65,12
SBI,0,,,,,,,,,
MGYR,0,,,,,,,,,
QUIK,2,99,265,0,1.00,1.00,1.00,1.00,1.00,2
ERW,3,,,1,,,,,,
ERS,0,,,,,,,,,
KOF,3,191,265,0,2.76,2.61,2.61,2.90,2.90,7
CAC,0,,,,,,,,,
ERF,4,,,,,,,,,
ERA,0,,,,,,,,,
ERB,3,89,265,0,NA,NA,NA,NA,NA,NA
ERC,0,,,,,,,,,
KOP,5,,,,,,,,,
KOS,4,,,,,,,,,
ERH,-1,,,,,,,,,
ERI,0,,,,,,,,,
ERJ,4,,,,,,,,,
AVL,3,220,265,0,2.00,2.00,2.00,2.00,3.00,2
ADEP,2,29,265,0,1.33,1.33,1.33,1.33,1.33,3
ADES,2,191,265,0,1.00,1.25,1.25,1.20,1.20,3
CELP,5,,,,,,,,,
FBNK,3,82,265,0,2.50,2.50,2.50,2.50,2.50,2
CELG,1,69,265,0,1.45,1.45,1.26,1.26,1.26,20
FBNC,2,99,265,0,2.00,2.00,2.00,2.00,2.00,3
UWN,0,,,,,,,,,
USATP,-1,,,,,,,,,
AGNCB,-1,,,,,,,,,
WLFC,0,,,,,,,,,
