

====  scan_st_sma_st_dmi_  =====

symbol      px    ma50   ma200  ma10s  ma10b  dmi_dif  dmi_buy
   COH   33.97   31.50   33.69      2      0     1.96       12
   KMB  129.08  122.09  113.03     16     13     1.66       13


====  scan_st_perf_  =====

symbol      px   p1d   p1w   p4w   p12w   p24w   pmax
   MCD  117.39  0.60 -0.16  3.23  22.01  23.21  43.95
    PG   76.73  0.08 -2.09  1.24  13.75  -3.12  21.47
    KO   42.37  1.90 -0.07 -0.94  12.06   4.63  23.37


====  scan_st_perf_  =====

symbol      px   p1d   p1w    p4w   p12w   p24w    pmax
  FSLR   65.42 -0.30 -0.86  12.44  34.08  15.24  104.50
   KMB  125.71  0.38 -1.25   4.54  21.70  16.63   66.99
   TSN   52.72  0.80 -1.14   4.09  21.93  29.20  170.99


====  scan_st_perf_  =====

symbol      px   p1d   p1w    p4w   p12w   p24w    pmax
  FSLR   66.14  1.10 -0.87  10.84  43.16  16.94  106.75
   TSN   53.32  1.14  0.68   5.42  23.51  28.80  174.07
   KMB  126.17  0.36 -0.25   5.34  22.46  15.77   67.60


====  scan_st_sma_  =====

symbol      px  ma50s  ma50b
  AAPL  101.42     13      5   1/26/2016
     D   69.76     13      4    2/5/2016
    HD  122.77      9      5  11/17/2015
  YHOO   29.75      9      0   1/26/2016
   ADI   51.39    103      7   2/16/2016
   GIS   55.33     44      2  12/17/2015
   MJN   70.17     96      5    2/4/2016
   NVS   82.26     34      5   1/26/2016
  NVDA   28.45     84      5   2/10/2016
    KO   42.06     19      5    2/9/2016
  SIVB  104.40     98      5   1/28/2016


====  scan_st_sma_ms_zack_  =====

symbol      px  ma50s  ma50b         erd
   JNJ  102.27     16      1   1/26/2016
   MCD  122.38     90      6   1/25/2016
    PG   79.82     14      1   1/26/2016
   COH   35.82      7      1    2/4/2016
   TSN   52.59      6      4    2/5/2016
   GSK   40.64     17      1    2/3/2016
    VZ   49.01     14      4   1/21/2016
   HCA   67.51     10      1    2/2/2016
    FL   67.31     14      4  11/20/2015
   KMB  126.27    108      1   1/25/2016
   SAP   77.70      7      1   1/22/2016


====  scan_st_sma_ms_zack_  =====

symbol      px  ma50s  ma50b         erd
  VNTV   44.39     21      6   2/11/2016
  SWKS   64.74      9      2   1/28/2016
  CTXS   68.51      7      5   1/27/2016
   BAC   13.54      9      1   1/19/2016
   STI   36.32      8      4   1/22/2016
   UTX   86.39    124      6   1/25/2016
  MSFT   52.06      7      5   1/28/2016
   XOM   77.06      7      5    2/1/2016
   BID   23.01      7      5   11/9/2015
  SBUX   59.33      8      4   1/21/2016
   PSX   78.61      7      5    2/4/2016
    FB  109.08      7      5   1/27/2016
  AMZN  635.50      7      5    2/4/2016
   CMG  453.74     29      1    2/2/2016
   CAR   25.87      5      1   2/17/2016
   EMC   24.23     26      3   1/27/2016
   COP   38.04    110      6    2/4/2016
   CAT   61.08     26      4   1/26/2016
  KLAC   65.47      7      5   1/28/2016
    AA    6.99     24      4   1/11/2016
   PRU   68.82      7      1   2/10/2016
  AVGO  126.47      9      2   12/2/2015
  INTC   29.96      7      5   1/14/2016
   RTN  122.23      7      5    2/4/2016
  FOXA   26.14      5      1    2/3/2016
 GOOGL  749.24      7      5    2/4/2016
   KMB  126.33      7      5   1/25/2016
    GS  157.02      7      4   1/20/2016
    GE   28.21      7      2   1/22/2016
    HD  122.40     37      4  11/17/2015
    IR   49.97     53      1   1/29/2016
   CLD    1.30      7      4   2/16/2016
   TRV  104.41      7      5   1/21/2016
   GIS   55.21      7      5  12/17/2015
   MJN   70.22      7      5    2/4/2016
   NKE   61.22      7      5  12/22/2015
    KR   37.83    103      6   12/3/2015


====  scan_st_sma_ms_zack_  =====

symbol      px  ma50s  ma50b         erd
  VNTV   45.79     22      7   2/11/2016
  SWKS   67.92     10      3   1/28/2016
  CTXS   68.91      8      6   1/27/2016
   BAC   13.69     10      2   1/19/2016
   STI   35.96      9      5   1/22/2016
   UTX   87.13    125      7   1/25/2016
  MSFT   54.48      8      6   1/28/2016
   XOM   76.73      8      6    2/1/2016
   BID   23.44      8      6   11/9/2015
  SBUX   60.33      9      5   1/21/2016
   PSX   76.48      8      6    2/4/2016
    FB  111.43      8      6   1/27/2016
  AMZN  578.46      8      6    2/4/2016
   CMG  463.12     30      2    2/2/2016
   EMC   24.35     27      4   1/27/2016
   COP   38.44    111      7    2/4/2016
   CAT   61.27     27      5   1/26/2016
  KLAC   66.50      8      6   1/28/2016
    AA    7.14     25      5   1/11/2016
   PRU   68.52      8      2   2/10/2016
  AVGO  132.09     10      3   12/2/2015
  INTC   30.34      8      6   1/14/2016
   RTN  125.58      8      6    2/4/2016
  FOXA   26.57      6      2    2/3/2016
 GOOGL  754.83      8      6    2/4/2016
   LPG   10.70      2      0    2/4/2016
   KMB  127.27      8      6   1/25/2016
    GS  158.72      8      5   1/20/2016
    GE   28.63      8      3   1/22/2016
    HD  124.50     38      5  11/17/2015
    IR   50.48     54      2   1/29/2016
   CLD    1.55      8      5   2/16/2016
   TRV  105.36      8      6   1/21/2016
   GIS   55.98      8      6  12/17/2015
   MJN   71.50      8      6    2/4/2016
   NKE   61.55      8      6  12/22/2015
    KR   38.70    104      7   12/3/2015


====  scan_st_sma_ms_zack_  =====

symbol      px  ma50s  ma50b         erd
  VNTV   45.79     22      7   2/11/2016
  SWKS   67.92     10      3   1/28/2016
  CTXS   68.91      8      6   1/27/2016
   BAC   13.69     10      2   1/19/2016
   STI   35.96      9      5   1/22/2016
   UTX   87.13    125      7   1/25/2016
  MSFT   54.48      8      6   1/28/2016
   XOM   76.73      8      6    2/1/2016
   BID   23.44      8      6   11/9/2015
  SBUX   60.33      9      5   1/21/2016
   PSX   76.48      8      6    2/4/2016
    FB  111.43      8      6   1/27/2016
  AMZN  578.46      8      6    2/4/2016
   CMG  463.12     30      2    2/2/2016
   EMC   24.35     27      4   1/27/2016
   COP   38.44    111      7    2/4/2016
   CAT   61.27     27      5   1/26/2016
  KLAC   66.50      8      6   1/28/2016
    AA    7.14     25      5   1/11/2016
   PRU   68.52      8      2   2/10/2016
  AVGO  132.09     10      3   12/2/2015
  INTC   30.34      8      6   1/14/2016
   RTN  125.58      8      6    2/4/2016
  FOXA   26.57      6      2    2/3/2016
 GOOGL  754.83      8      6    2/4/2016
   LPG   10.70      2      0    2/4/2016
   KMB  127.27      8      6   1/25/2016
    GS  158.72      8      5   1/20/2016
    GE   28.63      8      3   1/22/2016
    HD  124.50     38      5  11/17/2015
    IR   50.48     54      2   1/29/2016
   CLD    1.55      8      5   2/16/2016
   TRV  105.36      8      6   1/21/2016
   GIS   55.98      8      6  12/17/2015
   MJN   71.50      8      6    2/4/2016
   NKE   61.55      8      6  12/22/2015
    KR   38.70    104      7   12/3/2015


====  scan_st_sma_ms_zack_  =====

symbol      px  ma50s  ma50b         erd
   JNJ  102.27     16      1   1/26/2016
   MCD  122.38     90      6   1/25/2016
    PG   79.82     14      1   1/26/2016
   COH   35.82      7      1    2/4/2016
   TSN   52.59      6      4    2/5/2016
   GSK   40.64     17      1    2/3/2016
    VZ   49.01     14      4   1/21/2016
   HCA   67.51     10      1    2/2/2016
    FL   67.31     14      4  11/20/2015
   KMB  126.27    108      1   1/25/2016
   SAP   77.70      7      1   1/22/2016


====  scan_st_sma_ms_zack_  =====

symbol      px  ma50s  ma50b        erd
   JNJ  104.44     17      2  1/26/2016
   MCD  123.78     91      7  1/25/2016
    PG   81.69     15      2  1/26/2016
    VZ   49.97     15      5  1/21/2016


====  scan_st_sma_ms_zack_  =====

symbol      px  ma50s  ma50b         erd
   NOC  185.19     54      5    2/4/2016
     A   37.62     15      1   2/16/2016
  BIIB  272.71      7      5   1/27/2016
  SWKS   68.79     16      9   1/28/2016
  GPRO   11.44      9      5    2/4/2016
   LMT  210.98     54      3   1/26/2016
  LITB    2.26      8      2  12/21/2015
    MA   89.13     28      5   1/29/2016
  COST  151.31     25      1   12/8/2015
   BAC   14.03     16      8   1/19/2016
   DIS   95.58     14      1    2/2/2016
   AZN   32.23      9      5    2/4/2016
   KEY   11.20     16      0   1/21/2016
   UNH  115.02     14      5   1/19/2016
     C   42.54     14      5   1/15/2016
   PSX   80.01      5      2    2/4/2016
  CSCO   23.75     12      5   2/10/2016
   MAR   61.22     12      1   2/17/2016
   MAN   76.32     10      5   1/29/2016
   MOS   24.07     39      4   2/10/2016
   MON   90.42     33      0    1/6/2016
   CVS   96.53     14      5    2/9/2016
   CMG  453.28     36      8    2/2/2016
   PCL   40.67    133      5   1/25/2016
   BSX   17.54     29      1    2/3/2016
   AIG   56.31     15      3   2/11/2016
   IBM  124.60     69      5   1/19/2016
  SINA   45.82     16      1  11/18/2015
  FITB   15.80    133      0   1/21/2016
     N   69.38    131      5    2/4/2016
    MS   25.82     14      3   1/19/2016
  LNKD  197.59     16      4    2/4/2016
     V   74.12     15      5    2/4/2016
   PRU   69.98     14      4   2/10/2016
  AVGO  133.50     16      9   12/2/2015
   SNY   41.59     10      5    2/4/2016
  ALLY   15.84     12      1    2/4/2016
  TRMB   19.25     12      5    2/9/2016
  FOXA   26.94     12      5    2/3/2016
   MDT   75.78     12      4   2/16/2016
   LPG   10.63      8      6    2/4/2016
  BBRY    7.13      8      5  12/18/2015
   NOK    7.20     12      2    2/4/2016
    GE   29.07     14      5   1/22/2016
    GM   29.57     14      1    2/3/2016
   SAP   79.76     12      5   1/22/2016
  VIAV    5.01      4      2    2/4/2016
  QUNR   44.07      4      0  11/24/2015
  PANW  149.26     14      5  11/23/2015
    IR   51.48     60      8   1/29/2016
  CTRP   42.63      4      1  11/18/2015
