symbol,pricesale,marketcap,avgvol,px,peg,dividend,divdate
RTN,1.64,37860000000.0,1735010.0,125.74,2.8,2.11,10/5/2015
DB,0.9,33729999999.999996,1756480.0,24.47,0.18,0.0,5/22/2015
WB,9.3,4040000000.0,540456.0,19.48,1.24,0.0,0
TRMB,2.37,5440000000.0,1772280.0,21.71,1.44,0.0,0
FEYE,5.79,3370000000.0,5692820.0,20.97,-0.61,0.0,0
BIDU,6.98,66410000000.0,4285490.0,192.13,2.52,0.0,0
USB,4.07,75230000000.0,6800310.0,43.01,2.55,2.39,12/29/2015
PXD,5.65,18590000000.0,2391930.0,124.47,126.22,0.07,9/28/2015
HCA,0.71,27900000000.0,4400180.0,68.44,1.21,0.0,12/13/2012
BLK,5.02,56800000000.0,753612.0,342.05,1.94,2.64,12/1/2015
FOXA,1.98,53760000000.0,11739800.0,27.3,0.99,1.09,9/4/2015
VIPS,1.61,8840000000.0,12780200.0,15.19,0.7,0.0,0
BRCM,4.18,35460000000.0,5434680.0,58.22,2.99,0.97,11/25/2015
LVS,2.86,35040000000.0,5852850.0,43.99,-9.05,6.06,12/18/2015
SCTY,13.93,4960000000.0,4418880.0,50.8,3.32,0.0,0
SOHU,0.95,1850000000.0,320975.0,56.41,-6.06,0.0,0
TXN,4.36,56970000000.0,6298720.0,56.16,2.06,2.69,10/28/2015
FL,1.22,8910000000.0,2668740.0,64.94,1.16,1.5,10/14/2015
MDT,4.22,109020000000.0,5643090.0,77.53,2.59,1.97,9/23/2015
ILMN,13.07,27970000000.0,2452530.0,191.07,2.92,0.0,0
YY,4.33,3450000000.0,611788.0,62.93,0.78,0.0,0
ABT,3.28,67530000000.0,6403730.0,45.27,2.06,2.34,10/13/2015
GOOGL,7.57,543510000000.0,2065330.0,790.3,1.63,0.0,0
LPG,3.68,656900000.0,281280.0,11.57,0.29,0.0,0
BBRY,2.09,4920000000.0,7216450.0,9.35,-0.29,0.0,0
KMB,2.49,46980000000.0,1599090.0,129.43,2.8,2.79,12/2/2015
