,symbol,param,alpha,beta,perf,max_drawdown,profit_order,loss_order,last_trade,bh_profit,mark
11,MA,t=5&h=6,-0.134,0.211,-1141.0701201227848,0.253,3.0,13.0,2015-01-02  sell -177.04  86,328.84,"px=83.55,avgTyp=84.24,avgHac=84.56"
23,AMZN,t=6&h=9,-0.123,0.332,-1123.9070482462157,0.14,2.0,6.0,2015-01-06  sell -426.47  298.23,-2684.9,"px=294.74,avgTyp=298.13,avgHac=300.86"
1,MA,t=4&h=6,-0.129,0.21,-1095.754652679876,0.249,4.0,12.0,2015-01-02  sell -177.04  86,328.84,"px=83.55,avgTyp=84.14,avgHac=84.56"
14,AMZN,t=5&h=9,-0.12,0.336,-1081.2909768560257,0.137,2.0,6.0,2015-01-06  sell -394.13  298.23,-2684.9,"px=294.74,avgTyp=297.53,avgHac=300.86"
22,AMZN,t=6&h=8,-0.12,0.336,-1081.2909768560257,0.137,2.0,6.0,2015-01-06  sell -394.13  298.23,-2684.9,"px=294.74,avgTyp=298.13,avgHac=300.44"
2,JPM,t=4&h=7,-0.153,0.469,-1070.9921651245604,0.131,3.0,9.0,2015-01-06  sell -338.27  59.68,440.03,"px=58.84,avgTyp=59.34,avgHac=60.08"
1,BA,t=4&h=6,-0.115,0.198,-1064.6120334569823,0.202,4.0,11.0,2015-01-09  buy  0  131.58,-159.05,"px=131.17,avgTyp=131.20,avgHac=130.83"
41,CVX,t=8&h=12,-0.113,0.196,-1029.0334199913832,0.179,2.0,5.0,2015-01-08  sell -346.16  109.66,-1353.41,"px=104.20,avgTyp=108.08,avgHac=109.16"
29,GS,t=6&h=15,-0.139,0.409,-1008.8437135574331,0.124,2.0,7.0,2015-01-07  sell -381.83  186.97,617.18,"px=184.93,avgTyp=187.72,avgHac=190.29"
11,JPM,t=5&h=6,-0.168,0.668,-1007.020124341554,0.125,4.0,9.0,2015-01-06  sell -303.28  59.68,440.03,"px=58.84,avgTyp=59.50,avgHac=59.96"
1,JPM,t=4&h=6,-0.168,0.668,-1007.020124341554,0.125,4.0,9.0,2015-01-06  sell -303.28  59.68,440.03,"px=58.84,avgTyp=59.34,avgHac=59.96"
46,CVX,t=9&h=11,-0.113,0.224,-1004.5884581248265,0.164,3.0,6.0,2015-01-08  sell -249.92  109.66,-1353.41,"px=104.20,avgTyp=108.28,avgHac=109.07"
9,CVX,t=4&h=14,-0.113,0.224,-1004.5884581248265,0.164,3.0,6.0,2015-01-08  sell -249.92  109.66,-1353.41,"px=104.20,avgTyp=106.82,avgHac=109.30"
43,GS,t=8&h=14,-0.141,0.471,-963.1740104348191,0.119,2.0,7.0,2015-01-07  sell -381.83  186.97,617.18,"px=184.93,avgTyp=188.38,avgHac=190.20"
48,GS,t=9&h=13,-0.141,0.471,-963.1740104348191,0.119,2.0,7.0,2015-01-07  sell -381.83  186.97,617.18,"px=184.93,avgTyp=188.66,avgHac=190.09"
33,IBM,t=7&h=11,-0.162,0.505,-946.5246865372173,0.137,4.0,5.0,2015-01-07  sell -423.93  155.87,-1233.79,"px=156.81,avgTyp=158.02,avgHac=158.67"
25,IBM,t=6&h=11,-0.161,0.504,-936.4681717829444,0.136,4.0,5.0,2015-01-07  sell -423.93  155.87,-1233.79,"px=156.81,avgTyp=157.90,avgHac=158.67"
50,IBM,t=9&h=15,-0.143,0.355,-910.4860392499995,0.124,1.0,5.0,2015-01-07  sell -351.23  155.87,-1233.79,"px=156.81,avgTyp=158.24,avgHac=158.93"
37,SNY,t=7&h=15,-0.135,0.325,-788.977747836534,0.127,2.0,4.0,2014-12-09  sell -484.16  46.1,-1005.39,"px=45.09,avgTyp=45.00,avgHac=45.36"
29,SNY,t=6&h=15,-0.135,0.325,-788.977747836534,0.127,2.0,4.0,2014-12-09  sell -484.16  46.1,-1005.39,"px=45.09,avgTyp=44.97,avgHac=45.36"
42,SNY,t=8&h=13,-0.134,0.321,-785.6375508885158,0.133,2.0,4.0,2014-12-09  sell -412.47  46.1,-1005.39,"px=45.09,avgTyp=45.04,avgHac=45.28"
48,BIIB,t=9&h=13,-0.015,-0.037,-769.0449847792697,0.297,2.0,5.0,2014-12-04  buy  0  343.87,2525.83,"px=352.74,avgTyp=346.65,avgHac=344.84"
44,BIIB,t=8&h=15,-0.015,-0.024,-766.2529497801788,0.298,2.0,4.0,2014-12-04  buy  0  343.87,2525.83,"px=352.74,avgTyp=347.05,avgHac=344.18"
