Company Name,Ticker,Focus,Industry 
Imprivata,IMPR.N,,Health Care Technology 
IMS Health,IMS.N,,Health Care Technology 
Incyte Corporation,INCY.O,,Biotechnology 
Infinera,INFN.O,, 
Infinity Pharmaceuticals,INFI.O,,Biotechnology 
Ingersoll Rand,IR.N,Yes,Industrial Machinery 
Inogen Inc,INGN.O,,Health Care Equipment 
Intel,INTC.O,,Semiconductors 
Interpublic Group of Companies,IPG.N,,Advertising 
Intersect ENT,XENT.O,Yes,Pharmaceuticals 
Intrexon,XON.N,,Biotechnology 
"Intuitive Surgical, Inc.",ISRG.O,,Health Care Equipment 
Invesco Ltd.,IVZ.N,,Asset Management &amp; Custody Banks 
Iron Mountain,IRM.N,Yes,Specialized REIT's 
Ironwood Pharmaceuticals,IRWD.O,,Biotechnology 
Janus Capital Group,JNS.N,,Asset Management &amp; Custody Banks 
Jarden Corp.,JAH.N,Yes,Housewares &amp; Specialties 
Jones Lang LaSalle Inc,JLL.N,,Real Estate Services 
Juniper Networks,JNPR.N,, 
Juno Therapeutics,JUNO.O,,Biotechnology 
"KAR Auction Services, Inc.",KAR.N,,Diversified Support Services 
Keryx Biopharmaceuticals,KERX.O,,Biotechnology 
KeyCorp,KEY.N,Yes,Regional Banks 
Kilroy Realty,KRC.N,Yes,Office REIT's 
Kimco Realty Corporation,KIM.N,,Retail REIT's 
"Kinder Morgan, Inc.",KMI.N,Yes,Oil &amp; Gas Storage &amp; Transportation 
KKR &amp; Co L.P.,KKR.N,,Investment Companies 
KLA-Tencor,KLAC.O,Yes,Semiconductor Equipment 
Kroger,KR.N,,Food Retail 
Kythera Biopharmaceuticals,KYTH.O,,Biotechnology 
L-3 Communications,LLL.N,,Aerospace &amp; Defense 
La Quinta Holdings,LQ.N,Yes,"Hotels, Resorts &amp; Cruise Lines" 
LabCorp,LH.N,,Health Care        Services 
Lam Research,LRCX.O,,Semiconductor Equipment 
Laredo Petroleum,LPI.N,,Oil &amp; Gas Exploration &amp; Production 
Las Vegas Sands Corp.,LVS.N,,Casinos &amp; Gaming 
Lennar,LEN.N,,Homebuilding 
Lennox International,LII.N,,Building Products 
Level 3 Communications,LVLT.N,,Alternative Carriers 
Lexicon Pharmaceuticals,LXRX.O,,Biotechnology 
LGI Homes,LGIH.O,,Homebuilding 
Liberty Global,LBTYA.O,,Cable &amp; Satellite 
LifePoint,LPNT.O,,Health Care Facilities 
"Limited Brands, Inc.",LB.N,,Apparel Retail 
LinkedIn Corp,LNKD.N,Yes,Internet Software &amp; Services 
Lionsgate Entertainment,LGF.N,,Movies &amp; Entertainment 
"Lowe's Companies, Inc.",LOW.N,Yes,Home Improvement Retail 
LPL Financial Holdings Inc.,LPLA.O,,Investment Banking &amp; Brokerage 
M/A-COM,MTSI.O,,Semiconductors 
Macquarie Infrastructure Co LLC,MIC.N,,Airport Services 
"Macy's, Inc.",M.N,,Department Stores 
ManpowerGroup,MAN.N,Yes,Human Resource &amp; Employment Services 
Marketo,MKTO.O,,Internet Software &amp; Services 
Marriott International,MAR.O,,"Hotels, Resorts &amp; Cruise Lines" 
Marsh &amp; McLennan,MMC.N,,Insurance Brokers 
Marvell Technology Group,MRVL.O,,Semiconductors 
Masco Corp.,MAS.N,,Building Products 
MasterCard,MA.N,,Data Processing &amp; Outsourced Services 
Maxim Integrated Products,MXIM.O,,Semiconductors 
McDonald's,MCD.N,Yes,Restaurants 
McKesson Corporation,MCK.N,Yes,Health Care Distributors 
Mead Johnson Nutrition,MJN.N,Yes,Packaged Foods &amp; Meats 
Medidata Solutions,MDSO.O,,Health Care Technology 
Medivation,MDVN.O,,Biotechnology 
Medtronic,MDT.N,,Health Care Equipment 
"MercadoLibre, Inc.",MELI.O,,Internet Software &amp; Services 
"Merck &amp; Co., Inc.",MRK.N,,Pharmaceuticals 
Merrimack Pharmaceuticals,MACK.O,,Biotechnology 
"MetLife, Inc.",MET.N,,Life &amp; Health Insurance 
MGM Resorts International,MGM.N,,Casinos &amp; Gaming 
Michaels,MIK.O,Yes,Specialty Stores 
Micron Technology,MU.O,Yes,Semiconductors 
Microsoft,MSFT.O,,Systems Software 
Minerals Technologies,MTX.N,Yes,Specialty Chemicals 
Moelis,MC.N,,Investment Banking &amp; Brokerage 
Mohawk Industries,MHK.N,Yes,Home Furnishings 
"Mondel&#275;z International, Inc.",MDLZ.O,,Packaged Foods &amp; Meats 
MoneyGram,MGI.N,,Data Processing &amp; Outsourced Services 
Monsanto,MON.N,,Fertilizers &amp; Agricultural Chemicals 
Monster Beverage Corp.,MNST.O,,Soft Drinks 
MPLX LP,MPLX.N,,Oil &amp; Gas Storage &amp; Transportation 
Mylan Inc.,MYL.O,,Pharmaceuticals 
NanoString,NSTG.O,,Life Sciences Tools &amp; Services 
Navistar Int'l,NAV.N,,Construction Machinery &amp; Heavy Trucks 
NCR Corporation,NCR.N,,"Technology Hardware, Storage &amp; Peripherals" 
Nektar Therapeutics,NKTR.O,,Pharmaceuticals 
Netflix Inc,NFLX.O,,Internet Retail 
NetSuite,N.N,,Systems Software 
Nevro,NVRO.O,,Health Care Equipment 
New Relic,NEWR.N,,Internet Software &amp; Services 
Newell Rubbermaid Inc.,NWL.N,,Housewares &amp; Specialties 
Newfield Exploration Company,NFX.N,,Oil &amp; Gas Exploration &amp; Production 
"NIKE, Inc.",NKE.N,Yes,Footwear 
Noble Energy,NBL.N,,Oil &amp; Gas Exploration &amp; Production 
Nord Anglia Education,NORD.N,,Education Services 
Novavax,NVAX.O,,Biotechnology 
Nucor Corp.,NUE.N,,Steel 
Nustar Energy L.P.,NS.N,Yes,Oil &amp; Gas Refining &amp; Marketing 
Och-Ziff Capital Management,OZM.N,Yes,Asset Management &amp; Custody Banks 
Omnicare Inc.,OCR.N,,Health Care          Services 
Omnicom Group,OMC.N,Yes,Advertising 
Ophthotech,OPHT.O,,Biotechnology 
Opus Bank,OPB.O,,Regional Banks 
Orexigen Therapeutics,OREX.O,,Biotechnology 
Otonomy,OTIC.O,,Biotechnology 
Outfront Media Inc,OUT.N,,Specialized REIT's 
Pandora Media Inc,P.N,,Internet Software &amp; Services 
Paycom,PAYC.N,,Application Software 
PDC Energy,PDCE.O,Yes,Oil &amp; Gas Exploration &amp; Production 
Peabody Energy,BTU.N,,Coal &amp; Consumable Fuels 
Pentair,PNR.N,,Industrial Machinery 
PepsiCo,PEP.N,,Soft Drinks 
Perrigo Company,PRGO.O,,Pharmaceuticals 
Pfizer Inc.,PFE.N,,Pharmaceuticals 
PG&amp;E Corp.,PCG.N,,Multi-Utilities 
"Pharmacyclics, Inc.",PCYC.O,,Biotechnology 
Phillips 66,PSX.N,,Oil &amp; Gas Refining &amp; Marketing 
