,symbol,rank,industry_rank,industry_total,etf,abr_today,abr_1week,abr_1month,abr_2month,abr_3month,ps,p4w,p12w,p24w
2290,RCKY,3,115,265,0,1.0,1.00,1.00,1.00,1.00,0.37,-7.06,-11.35,-5.69
6135,PRSC,3,94,265,0,1.0,1.00,1.00,1.00,1.00,0.44,4.85,-16.89,-5.16
821,CSIQ,2,115,265,0,1.2,1.20,1.20,1.20,1.20,0.47,-11.7,-46.39,-5.0
3504,PCMI,3,194,265,0,1.0,1.00,1.00,1.00,NA,0.08,6.08,-4.1,-4.48
2851,RAD,1,52,265,0,1.83,1.83,1.83,2.17,2.17,0.27,31.91,36.78,-4.15
5015,ADK,3,12,265,0,1.0,1.00,1.00,1.00,1.00,0.31,3.13,-17.02,-1.99
2365,TSN,2,12,265,0,1.29,1.29,1.29,1.29,1.20,0.4,-2.3,4.32,-0.07
3312,TCPI,3,29,265,0,1.0,1.00,1.00,1.00,1.00,0.39,29.09,-10.78,0.0
3532,ATTO,1,69,265,0,1.0,1.00,1.00,1.00,NA,0.36,-1.68,0.0,0.0
6083,STRI,2,115,265,0,1.0,1.00,1.00,1.00,1.00,0.38,6.25,-10.53,0.0
3594,FIX,3,115,265,0,1.67,1.67,1.67,2.33,2.33,0.44,1.57,10.95,4.65
3956,MHLD,3,32,265,0,1.0,1.00,1.00,1.00,1.00,0.42,0.71,9.4,4.75
5735,SUMR,3,208,265,0,1.0,1.00,1.00,1.00,1.00,0.31,23.25,-11.64,5.03
4316,PAG,3,17,265,0,1.57,1.57,1.57,1.57,1.57,0.25,-1.43,7.79,7.89
6112,IEC,3,111,265,0,1.0,1.00,1.00,1.00,1.00,0.34,-13.91,-5.5,7.91
5820,LAD,2,17,265,0,1.33,1.33,1.33,1.33,1.33,0.46,4.01,0.88,11.77
1767,DCO,3,107,265,0,1.67,1.67,1.67,1.50,1.50,0.38,7.52,-8.7,14.22
1832,ETP,3,175,265,0,1.58,1.58,1.58,1.75,1.69,0.42,3.45,5.72,15.38
1315,JBL,1,18,265,0,1.86,1.86,2.11,2.11,2.11,0.25,4.05,-2.09,18.84
1373,MCK,2,78,265,0,1.25,1.25,1.25,1.25,1.39,0.3,0.56,9.3,19.42
1349,BIG,3,47,265,0,1.54,1.54,1.50,1.50,1.50,0.46,10.88,-1.87,21.21
4929,HPJ,3,111,265,0,1.0,1.00,1.00,1.00,NA,0.44,-21.7,-40.12,22.42
1587,BWS,1,115,265,0,1.8,1.80,1.83,2.33,1.67,0.49,-4.57,4.15,24.48
2446,CAH,2,78,265,0,1.46,1.46,1.46,1.46,1.54,0.3,0.15,10.03,25.97
3203,TAST,3,41,265,0,1.0,1.00,1.00,1.00,1.00,0.43,12.48,15.04,27.32
5159,WMAR,3,161,265,0,1.0,1.00,1.00,1.00,1.00,0.45,17.99,31.03,28.56
3255,SNE,3,165,265,0,1.0,1.00,1.00,1.00,1.00,0.34,-2.27,14.58,29.11
1609,SNX,1,41,265,0,1.6,1.60,1.40,1.40,1.40,0.23,8.4,26.9,29.26
5930,RDNT,3,60,265,0,1.67,1.67,1.67,1.67,1.67,0.46,1.0,9.67,30.68
4028,PLUS,1,41,265,0,1.0,1.00,1.00,1.00,1.00,0.45,-4.02,21.86,31.32
2366,TSO,2,154,265,0,1.75,1.75,1.75,1.75,1.92,0.21,-3.27,16.21,31.51
3360,CYH,2,29,265,0,1.72,1.72,1.72,1.76,1.67,0.33,-3.18,-11.69,32.73
5301,ELNK,3,167,265,0,1.75,1.75,1.75,1.75,1.75,0.36,-0.69,10.57,32.82
2254,PENN,3,235,265,0,1.97,1.97,1.97,1.97,2.17,0.46,12.69,29.39,37.9
136,APP,3,89,265,0,1.0,1.00,1.00,1.00,1.50,0.23,48.28,3.61,38.71
1208,RLGT,3,194,265,0,1.0,1.00,1.00,1.00,1.00,0.39,14.51,37.27,42.58
4880,KR,2,184,265,0,1.81,1.81,1.65,1.75,1.75,0.3,8.77,27.56,44.33
3342,BBY,3,226,265,0,1.82,1.82,1.82,1.82,1.82,0.29,-3.87,0.6,44.35
352,CAPL,3,154,265,0,1.33,1.33,1.33,1.38,1.63,0.32,14.29,9.89,44.46
3776,ANW,3,113,265,0,1.0,1.00,1.00,1.00,1.00,0.1,36.1,35.43,45.61
1748,OSTK,3,66,265,0,1.0,1.00,1.00,1.00,2.50,0.38,-11.63,26.8,46.36
4650,CEA,3,9,265,0,1.0,1.00,1.00,1.00,1.00,0.43,1.78,40.5,59.27
1015,HTCH,2,41,265,0,1.0,1.00,1.00,1.00,1.00,0.38,-3.6,-15.53,61.86
3538,CORE,3,112,265,0,1.33,1.50,1.50,1.50,1.50,0.18,6.94,20.94,68.76
4021,ZNH,3,9,265,0,1.0,1.00,1.00,1.00,2.00,0.3,7.63,39.4,72.53
1822,IMKTA,1,184,265,0,1.0,1.00,1.00,1.00,1.00,0.24,62.69,85.11,79.81
