,symbol,param,alpha,beta,perf,max_drawdown,profit_order,loss_order,last_trade,bh_profit,mark
78,RTN,t=9&h=15,0.0196419797861103,0.28442575030365386,3616.3981158355327,0.28562468610521785,15.0,15.0,2014-12-23  buy  0  109.84,14277.26,"avgTyp=108.00,avgHac=107.73"
43,NTES,t=6&h=15,0.1149686046277017,0.185726665645526,3726.2680542307935,0.29946126947710516,16.0,18.0,2015-01-08  buy  0  103.41,16265.15,"avgTyp=102.72,avgHac=101.47"
37,WFC,t=9&h=15,0.018574011678354024,0.3573990221417915,3787.0765439629795,0.37128949705896197,12.0,15.0,2015-01-06  sell -629.72  52.69,10630.2,"avgTyp=53.33,avgHac=53.89"
55,AMZN,t=8&h=9,0.07761865428782216,0.12902331862778837,3833.296392341321,0.3129553416900106,21.0,23.0,2015-01-06  sell -676.48  298.23,12034.78,"avgTyp=299.96,avgHac=301.80"
40,MS,t=5&h=13,0.08011424206087199,0.2629154284794175,3986.519441880014,0.329291303655766,15.0,18.0,2015-01-07  sell -601.04  36.88,1905.07,"avgTyp=37.05,avgHac=37.63"
6,CAT,t=9&h=12,0.05898184375007871,0.35909652750251897,4429.284743333559,0.2596839426833153,13.0,17.0,2014-12-02  sell -53.04  99.42,6487.67,"avgTyp=88.89,avgHac=89.98"
35,BAC,t=9&h=14,0.10117899954176329,0.08383097781809672,4737.371559617286,0.2931026579500763,13.0,21.0,2015-01-07  sell -550.89  17.03,536.96,"avgTyp=17.26,avgHac=17.43"
58,LMT,t=8&h=15,0.05475601950925056,0.27260870631250755,4990.418569366984,0.270318118466816,12.0,20.0,2014-12-22  buy  0  195.05,20572.24,"avgTyp=193.49,avgHac=192.61"
56,GOOGL,t=4&h=8,0.08230019402955782,0.2544727187345868,5159.503514217963,0.26530746415192796,17.0,30.0,2015-01-06  sell -786.82  513.48,6521.31,"avgTyp=502.92,avgHac=513.56"
39,F,t=7&h=15,0.0730150577964095,0.19880080520659774,5395.63716845413,0.2575405031860838,13.0,21.0,2015-01-07  sell -660.82  14.92,4995.07,"avgTyp=15.18,avgHac=15.18"
34,C,t=9&h=11,0.08848394602425053,0.19704476846802424,5562.7006832727475,0.27370233341519673,14.0,21.0,2015-01-06  sell -974.03  51.67,4324.71,"avgTyp=52.07,avgHac=52.64"
25,BMY,t=6&h=14,0.10841395733008966,0.11933236020254849,6530.486159109594,0.16469071116470452,15.0,15.0,2015-01-09  buy  0  60.55,19836.85,"avgTyp=60.66,avgHac=59.77"
18,NVS,t=9&h=11,0.05613376818686341,0.3158096312180767,6851.572737651091,0.16020475701244682,15.0,17.0,2015-01-09  buy  0  96.28,12122.34,"avgTyp=94.16,avgHac=93.79"
73,INTC,t=8&h=14,0.090719484279876,0.29642133794597464,7250.529150995222,0.2133343521578925,13.0,13.0,2015-01-06  sell  1092.95  35.71,10783.65,"avgTyp=36.50,avgHac=36.54"
15,NOC,t=7&h=8,0.06020148138056769,0.4079800443607571,7645.122849726889,0.15620070098162384,23.0,26.0,2015-01-09  buy  0  152.66,24258.34,"avgTyp=150.02,avgHac=149.20"
28,AZN,t=4&h=8,0.11457755012961252,0.17272159752287436,9073.67841647692,0.14860127361098546,19.0,20.0,2014-12-03  sell  901.01  73.56,9862.51,"avgTyp=69.77,avgHac=69.75"
63,FB,t=7&h=9,0.34510253780399414,0.055121207774595025,9482.108025823103,0.23871107973400735,9.0,11.0,2015-01-05  sell  199.66  77.82,13227.37,"avgTyp=77.56,avgHac=77.86"
81,DIS,t=8&h=15,0.10928489245886586,0.3932479652887505,9541.917464407772,0.21276961998820965,11.0,11.0,2014-11-25  buy  0  90.1,21708.63,"avgTyp=93.80,avgHac=93.47"
80,HD,t=9&h=15,0.12717076596411833,0.3734018500373905,10230.863752403744,0.20538896090696304,14.0,14.0,2014-10-22  buy  0  93.52,31061.74,"avgTyp=104.07,avgHac=103.22"
29,GILD,t=6&h=15,0.13261544282324822,0.17009277579501958,10985.319498341509,0.32350288681781386,13.0,17.0,2015-01-09  buy  0  102.83,35122.6,"avgTyp=100.25,avgHac=98.92"
45,QIHU,t=7&h=9,0.32927808017725163,0.0494239820325918,13031.716025448564,0.4645353424249068,7.0,21.0,2014-12-03  sell -2915.29  66.78,9212.57,"avgTyp=58.43,avgHac=58.83"
27,BIIB,t=8&h=9,0.18430676986891734,0.1840715086878791,15226.6130016032,0.31162497614576323,20.0,25.0,2015-01-08  buy  0  352.85,55642.57,"avgTyp=344.96,avgHac=344.59"
76,TSLA,t=7&h=15,0.43920215973788035,0.005207214200990129,21508.644565573606,0.5468088458273194,11.0,17.0,2015-01-06  sell -2605.19  209.94,74855.22,"avgTyp=209.93,avgHac=214.99"
61,BIDU,t=7&h=14,0.25674088989103455,0.1866245586094801,22865.5879237041,0.3266072036285462,15.0,15.0,2015-01-02  sell -1002.55  226.12,45139.79,"avgTyp=225.64,avgHac=227.45"
52,YY,t=7&h=15,0.6379604963027563,0.019678884422873216,23424.069265516027,0.33004399866826906,8.0,5.0,2015-01-07  buy  0  67.93,49372.79,"avgTyp=67.19,avgHac=66.48"
54,NFLX,t=8&h=14,0.5696961556251289,0.030531457713377032,106448.50855902095,0.42222143321176636,14.0,12.0,2015-01-06  sell -4265.08  327.51,50845.42,"avgTyp=331.03,avgHac=335.08"
48,VIPS,t=7&h=15,1.021189740141747,0.04215543371969066,124220.11255506473,0.4082182247700715,9.0,4.0,2015-01-07  buy  0  22.28,494651.16,"avgTyp=21.81,avgHac=21.11"
