,symbol,5d,10d,20d,50d,100d,200d,max,px,sma10,sma50,sma200,sma10%,sma50%,sma200%,,,
28,AZN,3.17%,1.25%,2.44%,-0.02,-2.45%,10.43%,17.98%,71.26,69.821,72.1878,71.80675,2.06%,-1.29%,-0.76%,,AZN,2
12,MCD,-2.99%,-2.31%,3.18%,-0.01,-1.38%,-4.09%,-0.80%,91.54,93.055,93.8232,95.15505,-1.63%,-2.43%,-3.80%,,MCD,3
67,JDSU,-1.90%,-2.33%,-0.96%,-0.01,16.22%,-6.62%,11.11%,13.4,13.556,13.5086,12.43845,-1.15%,-0.80%,7.73%,,JDSU,3
21,MJN,-2.65%,-1.81%,3.43%,-0.01,5.45%,16.88%,20.17%,98.72,99.742,100.434,93.6524,-1.02%,-1.71%,5.41%,,MJN,3
64,TWTR,1.94%,11.10%,13.44%,-0.01,-13.33%,-15.18%,-35.28%,39.85,38.298,38.706,41.7454,4.05%,2.96%,-4.54%,,TWTR,3
32,MA,-2.42%,-2.94%,1.19%,-0.01,9.50%,12.27%,2.02%,83.46,84.211,85.4682,77.4185,-0.89%,-2.35%,7.80%,,MA,3
72,SAP,1.27%,-3.85%,-0.84%,0.00,-13.28%,-16.58%,-17.83%,66.97,67.038,68.6688,74.0692,-0.10%,-2.47%,-9.58%,,SAP,4
66,AAPL,-1.87%,-0.53%,2.86%,0.01,8.84%,44.02%,40.81%,109.8,109.314,112.1364,97.40245,0.44%,-2.08%,12.73%,,AAPL,2
40,MS,-6.08%,-9.25%,-0.87%,0.01,5.51%,13.87%,10.48%,35.21,37.035,36.5962,33.2993,-4.93%,-3.79%,5.74%,,MS,3
82,FOXA,-2.30%,-9.24%,-3.73%,0.01,-2.00%,5.86%,7.66%,34.86,36.171,36.4356,34.65855,-3.62%,-4.32%,0.58%,,FOXA,3
10,CL,-1.20%,-1.07%,1.39%,0.02,6.60%,8.32%,7.95%,68.45,68.624,68.8412,66.5123,-0.25%,-0.57%,2.91%,,CL,4
