symbol,pricesale,marketcap,avgvol,px,peg,dividend,divdate
CVS,0.70,106.68B,5619730,96.89,1.21,1.75,1/20/2016
CMG,3.43,15.50B,1880570,515.93,4.12,N/A,N/A
PCL,4.40,6.63B,1290360,38.07,0.00,4.64,11/10/2015
BSX,3.16,23.18B,9943380,17.21,1.33,N/A,N/A
CAR,0.35,2.93B,2590800,29.25,0.46,0.00,2/23/2006
F,0.33,48.67B,38606600,12.26,0.56,5.05,1/27/2016
MMM,3.13,94.86B,2882890,156.78,2.31,2.85,2/10/2016
CELG,8.89,80.92B,6045740,103.52,0.80,N/A,N/A
WFC,2.93,243.05B,20295000,47.73,1.18,3.11,2/3/2016
EMC,1.96,48.81B,13293600,25.12,1.35,1.87,12/30/2015
COP,1.38,41.61B,14519300,33.70,0.49,3.05,2/11/2016
PEP,2.28,143.99B,4798280,99.62,3.29,2.85,12/2/2015
COH,2.36,10.08B,5447900,36.31,2.16,3.79,12/2/2015
AIG,1.08,61.99B,10239000,51.92,0.64,2.46,12/3/2015
MNST,9.48,25.56B,1374190,126.07,1.94,N/A,N/A
YUM,2.28,29.83B,4380740,71.03,1.64,2.65,1/13/2016
TSN,0.62,24.86B,5777040,62.96,1.26,0.97,11/27/2015
HUM,0.46,24.88B,1049050,167.75,1.40,0.70,12/28/2015
IBM,1.49,127.95B,5375900,132.45,1.29,4.24,2/8/2016
IBB,N/A,N/A,2334760,259.42,0.00,0.10,N/A
CAT,0.83,38.50B,7113780,66.12,41.72,4.72,1/15/2016
SINA,3.02,2.52B,779212,43.12,1.15,N/A,N/A
NFLX,5.98,38.74B,19545700,90.49,12.27,N/A,N/A
FITB,1.97,11.89B,10215100,15.15,1.69,3.34,12/29/2015
ESRX,0.46,46.23B,5208640,68.29,0.89,N/A,N/A
KLAC,3.58,10.09B,1572480,64.85,0.78,3.21,2/11/2016
N,5.92,4.34B,641310,54.56,2.81,N/A,N/A
MS,1.32,46.00B,15714500,23.96,0.61,2.53,1/27/2016
DOW,1.10,53.14B,11865500,47.57,1.79,3.93,12/29/2015
AA,0.50,10.64B,33619300,8.12,8.20,1.48,2/3/2016
ARLP,0.37,804.94M,455377,10.85,-0.81,23.28,2/3/2016
SBAC,7.07,11.55B,1372670,91.57,-3.27,N/A,N/A
QCOM,3.02,73.37B,14804200,49.08,0.98,4.11,11/27/2015
BA,0.80,77.89B,5755380,117.57,1.15,4.01,2/10/2016
GSK,2.75,95.28B,3748280,39.37,25.78,6.62,2/17/2016
NTES,7.33,20.03B,1161900,152.27,0.86,1.49,11/24/2015
LLY,3.98,78.24B,4859630,73.47,1.55,2.78,2/10/2016
ORCL,4.11,153.89B,17326800,36.63,1.77,1.69,1/4/2016
ABBV,3.93,89.18B,9054760,54.55,0.63,4.26,1/13/2016
LNKD,4.90,14.99B,2935070,113.46,1.27,N/A,N/A
V,12.30,171.02B,10846600,71.24,1.48,0.79,2/17/2016
PRU,0.60,29.68B,3082340,66.14,1.05,4.41,11/20/2015
AVGO,5.29,35.13B,4884150,127.07,0.74,1.39,12/16/2015
LPLA,0.46,1.90B,1254390,20.20,1.17,5.07,11/9/2015
SNY,2.62,102.30B,1765820,39.20,1.61,4.15,5/6/2015
BBL,1.27,56.75B,2834780,21.33,9.15,12.21,9/9/2015
DD,2.10,52.27B,6117160,59.97,2.22,2.58,2/10/2016
CL,3.75,60.26B,3716260,67.22,4.41,2.31,1/21/2016
TWTR,5.36,12.56B,22034600,18.43,0.57,N/A,N/A
VZ,1.56,207.48B,17546200,50.94,2.80,4.50,1/6/2016
WMT,0.44,205.31B,12327500,64.12,16.59,2.97,12/2/2015
ALLY,1.21,8.23B,4992150,17.16,0.49,N/A,N/A
INTC,2.51,138.98B,25718600,29.42,1.22,3.61,2/3/2016
ALSN,1.93,3.72B,1372450,22.92,1.36,2.64,11/12/2015
KITE,171.88,2.06B,1189640,46.73,0.00,N/A,N/A
FSLR,1.76,6.41B,2462330,63.54,7.65,N/A,N/A
RTN,1.57,36.35B,2103850,121.58,2.00,2.22,1/4/2016
DB,0.68,23.56B,2980490,17.09,0.25,0.00,5/22/2015
WB,6.84,3.00B,581116,14.47,0.92,N/A,N/A
TRMB,2.53,5.89B,1732080,23.52,1.27,N/A,N/A
FEYE,3.46,2.10B,5534870,13.47,-0.39,N/A,N/A
BIDU,6.01,55.54B,3986080,160.70,1.94,N/A,N/A
USB,3.69,68.91B,8228830,39.49,2.20,2.54,12/29/2015
PXD,5.91,18.08B,3289540,121.36,1.82,0.07,9/28/2015
HCA,0.67,26.92B,4002840,67.52,0.97,0.00,12/13/2012
BLK,4.65,52.32B,925770,315.97,1.62,2.91,12/1/2015
FOXA,1.92,50.63B,12690400,26.40,1.04,1.17,9/4/2015
VIPS,1.34,7.07B,10935200,12.16,0.57,N/A,N/A
BRCM,N/A,N/A,7476240,54.67,0.00,0.00,11/25/2015
LVS,3.15,36.58B,5831570,46.02,-4.42,6.29,12/18/2015
SCTY,5.09,1.96B,5209890,20.05,1.17,N/A,N/A
SOHU,0.92,1.74B,403262,44.94,-3.68,N/A,N/A
TXN,4.18,53.66B,6973390,53.06,1.86,2.89,1/28/2016
FL,1.27,9.20B,2564280,67.00,1.21,1.48,1/13/2016
MDT,4.12,105.42B,6027050,74.97,2.52,2.03,9/23/2015
ILMN,10.23,21.92B,1755350,150.16,2.48,N/A,N/A
YY,3.78,3.00B,632195,54.76,0.67,N/A,N/A
ABT,2.81,57.15B,7128710,38.31,1.81,2.74,1/13/2016
GOOGL,6.72,493.88B,2644850,717.51,1.29,N/A,N/A
LPG,2.37,556.80M,335375,9.73,0.24,N/A,N/A
BBRY,1.61,3.78B,7830240,7.19,-0.22,N/A,N/A
KMB,2.53,46.83B,2063660,129.75,2.99,2.86,12/2/2015
VRX,3.25,32.29B,8882520,94.11,0.43,0.00,11/10/2010
NOK,1.72,24.19B,14215900,6.14,-4.37,2.63,5/5/2015
GS,1.97,65.24B,4430360,147.73,1.99,1.74,11/30/2015
GG,2.99,13.09B,9922460,15.77,-10.30,1.62,2/9/2016
GE,2.44,283.38B,59500100,29.08,2.44,3.19,12/17/2015
GM,0.30,44.84B,14983500,29.03,0.27,5.49,12/16/2015
SAP,3.94,91.95B,1231180,76.75,2.35,1.61,5/18/2015
JAH,1.36,11.46B,4136390,52.00,1.84,0.00,12/29/2011
WYNN,1.89,7.94B,4485310,78.45,6.96,2.68,11/9/2015
AAPL,2.32,533.72B,49190500,96.26,0.91,2.15,2/4/2016
VIAV,0.82,1.47B,2606810,6.34,1.34,N/A,N/A
D,3.56,41.62B,3120190,69.75,2.79,4.05,11/23/2015
HD,1.77,152.11B,6196590,119.97,1.58,1.98,12/1/2015
YHOO,5.58,27.76B,17373100,29.42,-11.94,N/A,N/A
ADI,4.79,16.24B,3056680,52.04,1.84,3.07,12/2/2015
JUNO,246.41,3.60B,1314870,35.77,0.00,N/A,N/A
QUNR,9.57,4.75B,1578030,35.88,0.11,N/A,N/A
PANW,11.03,10.57B,2043950,123.06,1.60,N/A,N/A
IR,1.01,13.38B,2359750,52.10,1.83,2.47,12/9/2015
CLD,0.08,94.27M,1525050,1.56,-0.16,N/A,N/A
CTRP,7.74,11.54B,5993910,40.78,0.80,0.00,6/10/2008
TRV,1.20,32.11B,1990360,108.85,3.82,2.27,12/8/2015
QIHU,5.42,8.78B,2290310,71.22,0.54,N/A,N/A
PFE,3.74,182.41B,41359800,29.55,2.38,4.03,2/3/2016
GIS,2.00,34.77B,3607880,58.60,3.63,3.05,1/7/2016
MJN,3.43,13.92B,2432310,74.66,2.80,2.27,12/10/2015
BABA,11.29,162.71B,17747600,66.52,0.90,N/A,N/A
TSLA,5.47,21.86B,4216400,166.77,1.09,N/A,N/A
ALXN,12.86,32.25B,1707310,143.15,1.30,N/A,N/A
MHK,1.50,12.06B,668667,163.07,1.09,N/A,N/A
NVS,3.47,174.98B,2276290,73.71,2.07,3.77,3/2/2015
GOOG,6.50,480.00B,2482630,697.35,1.23,N/A,N/A
NKE,3.16,99.80B,10540000,58.60,2.14,1.11,12/7/2015
CYOU,1.20,913.39M,202752,17.51,0.02,0.00,8/15/2012
CBI,0.27,3.52B,1691430,33.56,1.33,0.85,12/16/2015
NVDA,3.06,16.16B,8824260,30.04,3.87,1.70,11/18/2015
BLUE,104.74,1.91B,1601380,52.10,-0.05,N/A,N/A
KO,4.25,188.57B,15004300,43.61,10.19,3.04,11/27/2015
KR,0.35,37.10B,8675930,38.06,1.83,1.09,2/10/2016
JPM,2.41,212.41B,19590400,57.81,1.23,3.02,1/4/2016
PLD,8.33,19.73B,3402720,37.67,2.48,4.31,12/11/2015
SIVB,3.29,4.47B,796761,86.64,1.09,0.00,5/12/1992
MTB,3.85,16.94B,1145010,106.16,1.23,2.57,10/28/2015
T,1.53,227.30B,28713100,36.99,2.52,5.24,1/6/2016
CRUS,1.72,2.05B,2200500,32.55,1.23,N/A,N/A
RDS-A,0.56,146.37B,6008650,45.76,0.00,N/A,2/17/2016
G3B.SI,N/A,N/A,90810,2.72,0.00,N/A,7/1/2015
D05.SI,3.51,34.11B,5894560,13.63,1.04,N/A,7/31/2015
