symbol,exg,rank,indurank,indutotal,etf,abrt,abr1w,abr1m,abr2m,abr3m,numbr,cq0,cq7,cq30,cq60,cq90
PG,N,-1,212,265,,2.40,2.40,2.40,2.43,2.40,20,0.98,0.98,0.98,0.99,1.02
SBUX,O,-1,93,265,,1.40,1.40,1.40,1.40,1.40,24,0.45,0.45,0.45,0.47,0.47
PSX,N,-1,26,265,,1.64,1.64,1.64,1.75,1.69,11,1.57,1.55,1.60,1.19,1.30
CSCO,O,-1,13,265,,1.88,1.88,1.88,1.85,1.92,25,0.50,0.50,0.50,0.50,0.50
APEI,O,-1,132,265,,3.00,3.00,3.00,3.00,3.00,3,0.54,0.54,0.54,0.53,0.55
FB,O,-1,59,265,,1.21,1.21,1.19,1.20,1.27,29,0.50,0.50,0.50,0.46,0.46
AGN,N,-1,93,265,,1.36,1.36,1.36,1.37,1.34,14,3.25,3.25,3.25,3.31,4.59
ERIC,O,-1,192,265,,2.50,2.38,2.38,2.38,2.57,8,0.26,0.24,0.24,0.25,0.24
BWP,N,-1,34,265,,2.14,2.14,2.00,2.25,2.25,7,0.22,0.22,0.22,0.18,0.18
MAR,O,-1,78,265,,2.21,2.21,2.21,2.27,2.27,14,0.76,0.77,0.77,0.80,0.80
MAN,N,-1,28,265,,1.67,1.67,1.50,1.50,1.46,12,1.51,1.51,1.51,1.51,1.54
AMZN,O,-1,141,265,,1.40,1.41,1.43,1.41,1.48,30,1.62,1.62,1.63,1.55,1.55
VMW,N,-1,74,265,,2.26,2.26,2.41,2.43,1.84,29,0.98,0.98,0.99,0.99,0.96
MOS,N,-1,250,265,,2.21,2.21,2.21,2.21,2.21,14,0.54,0.58,0.58,0.77,0.84
MON,N,-1,243,265,,2.13,2.13,2.21,2.21,2.25,15,-0.27,-0.27,-0.16,0.01,0.60
CVX,N,-1,167,265,,1.76,1.81,2.07,2.14,2.20,17,0.61,0.61,0.65,0.53,0.65
CVS,N,-1,155,265,,1.26,1.26,1.28,1.25,1.36,17,1.53,1.53,1.52,1.51,1.51
CMG,N,-1,93,265,,2.30,2.22,2.06,1.90,1.94,25,2.54,2.60,4.12,4.36,4.39
PCL,N,-1,159,265,,2.50,2.50,2.50,2.57,2.50,6,0.16,0.16,0.16,0.23,0.23
BSX,N,-1,54,265,,1.83,1.83,1.83,1.83,1.83,20,0.25,0.25,0.25,0.25,0.25
CAR,O,-1,192,265,,2.43,2.43,2.43,2.14,2.14,7,0.20,0.21,0.21,0.33,0.33
F,N,-1,71,265,,2.21,2.21,2.21,2.21,2.46,14,0.46,0.46,0.47,0.48,0.49
MMM,N,-1,150,265,,2.44,2.44,2.44,2.44,2.44,12,1.62,1.65,1.71,1.75,1.86
CELG,O,-1,61,265,,1.33,1.33,1.33,1.36,1.31,15,1.10,1.10,1.10,1.17,1.16
WFC,N,-1,183,265,,1.89,1.89,1.95,1.85,2.00,19,1.03,1.03,1.03,1.03,1.05
EMC,N,-1,87,265,,2.17,2.17,2.25,2.12,1.72,24,0.55,0.55,0.55,0.55,0.60
COP,N,-1,159,265,,2.21,2.21,2.33,2.33,2.29,14,-0.27,-0.27,-0.20,-0.16,-0.11
PEP,N,-1,175,265,,1.44,1.44,1.44,1.44,1.47,17,1.08,1.08,1.08,1.08,1.12
COH,N,-1,201,265,,2.09,2.09,2.26,2.26,2.47,23,0.66,0.66,0.66,0.68,0.68
AIG,N,-1,175,265,,2.09,2.09,2.18,2.25,2.21,11,1.17,1.17,1.17,1.25,1.24
MNST,O,-1,175,265,,1.79,1.79,1.81,1.88,1.88,12,0.82,0.82,0.82,0.84,0.87
YUM,N,-1,93,265,,2.33,2.33,2.25,2.25,2.06,15,0.66,0.66,0.66,0.66,0.95
TSN,N,-1,159,265,,1.60,1.60,1.75,1.60,1.20,5,0.84,0.84,0.84,0.85,0.64
HUM,N,-1,30,265,,2.13,2.13,2.18,2.29,2.29,16,1.45,1.45,1.45,1.48,1.47
IBM,N,-1,206,265,,2.50,2.50,2.50,2.60,2.50,16,4.77,4.77,4.77,4.77,5.73
CAT,N,-1,235,265,,2.87,2.87,2.88,2.88,2.88,15,0.71,0.71,0.72,0.71,0.77
SINA,O,-1,80,265,,1.86,1.86,1.86,1.86,2.14,7,0.11,0.11,0.23,0.25,0.31
NFLX,O,-1,95,265,,2.04,2.04,2.07,2.07,2.07,27,0.02,0.02,0.02,0.02,0.02
FITB,O,-1,183,265,,2.22,2.22,2.22,2.19,2.16,25,0.40,0.40,0.41,0.40,0.42
ESRX,O,-1,21,265,,1.97,1.97,1.97,1.93,1.93,19,1.55,1.55,1.55,1.53,1.53
KLAC,O,-1,218,265,,2.36,2.36,2.36,2.36,2.29,11,0.86,0.86,0.86,0.85,0.82
N,N,-1,74,265,,2.31,2.31,2.40,2.40,2.31,16,-0.35,-0.35,-0.36,-0.36,-0.33
MS,N,-1,136,265,,2.00,2.00,2.00,2.15,2.17,13,0.50,0.49,0.54,0.54,0.63
DOW,N,-1,201,265,,2.29,2.29,2.33,2.33,2.33,14,0.69,0.70,0.69,0.71,0.72
AA,N,-1,136,265,,2.27,2.27,2.27,2.27,2.20,11,0.04,0.04,0.06,0.07,0.15
ARLP,O,-1,98,265,,1.86,1.86,1.57,1.57,1.57,7,0.78,0.78,0.78,0.86,0.86
SBAC,O,-1,201,265,,1.62,1.62,1.62,1.33,1.33,13,0.09,0.09,0.09,0.10,0.13
QCOM,O,-1,192,265,,2.08,2.08,2.18,2.09,2.09,24,0.78,0.78,0.75,0.97,1.05
BA,N,-1,42,265,,1.86,1.93,1.80,1.75,1.75,14,2.13,2.12,2.12,2.13,2.33
GSK,N,-1,134,265,,2.33,2.33,2.56,2.56,2.56,9,0.60,0.60,0.61,0.79,0.70
NTES,O,-1,61,265,,1.50,1.50,1.50,1.40,1.40,4,1.81,1.81,1.81,1.85,1.85
LLY,N,-1,134,265,,1.50,1.50,1.83,1.83,1.83,12,0.78,0.78,0.77,0.76,0.76
ORCL,N,-1,74,265,,2.15,2.10,2.10,2.02,1.93,24,0.58,0.58,0.63,0.63,0.64
ABBV,N,-1,134,265,,1.38,1.38,1.21,1.33,1.40,12,1.14,1.14,1.14,1.18,1.19
LNKD,N,-1,59,265,,1.46,1.46,1.46,1.46,1.63,28,0.00,0.00,0.00,-0.12,-0.13
V,N,-1,80,265,,1.43,1.43,1.45,1.41,1.50,22,0.68,0.68,0.68,0.74,0.73
PRU,N,-1,175,265,,1.54,1.54,1.54,1.63,1.59,14,2.30,2.30,2.32,2.35,2.41
AVGO,O,-1,51,265,,1.34,1.39,1.42,1.42,1.42,22,2.16,2.16,2.12,2.13,2.13
LPLA,O,-1,136,265,,3.00,3.00,3.00,3.00,3.00,6,0.47,0.47,0.51,0.55,0.59
SNY,N,-1,134,265,,2.00,2.00,2.00,2.20,2.20,4,0.68,0.68,0.68,0.77,0.77
BBL,N,-1,192,265,,2.60,2.60,2.60,2.20,2.20,5,NA,NA,NA,NA,NA
DD,N,-1,201,265,,2.15,2.15,2.38,2.29,2.29,13,0.24,0.24,0.26,0.30,0.54
CL,N,-1,212,265,,2.82,2.82,2.82,2.82,2.82,17,0.73,0.73,0.73,0.75,0.76
TWTR,N,-1,64,265,,2.26,2.21,2.08,2.08,2.08,23,-0.13,-0.13,-0.13,-0.17,-0.17
VZ,N,-1,42,265,,1.91,1.91,1.91,1.91,1.96,23,0.88,0.88,0.88,0.88,0.88
WMT,N,-1,85,265,,2.68,2.68,2.68,3.00,2.91,19,1.46,1.46,1.46,1.42,1.43
ALLY,N,-1,85,265,,1.09,1.10,1.15,1.15,1.15,11,0.52,0.52,0.54,0.52,0.53
INTC,O,-1,74,265,,1.91,1.91,1.91,1.98,1.95,31,0.63,0.63,0.63,0.63,0.60
ALSN,N,-1,175,265,,1.88,1.88,1.88,1.88,1.71,12,0.58,0.58,0.58,0.61,0.61
KITE,O,-1,61,265,,1.33,1.33,1.33,1.33,1.33,6,-0.84,-0.84,-0.84,-0.62,-0.60
FSLR,O,-1,18,265,,1.94,1.94,1.88,1.94,1.94,17,0.81,0.80,0.83,1.58,1.57
RTN,N,-1,131,265,,1.29,1.29,1.13,1.27,1.40,14,1.75,1.74,1.74,1.76,1.81
DB,N,-1,167,265,,3.00,3.00,2.50,2.50,2.00,2,NA,NA,NA,NA,NA
TRMB,O,-1,175,265,,1.85,1.85,2.00,2.18,2.30,13,0.21,0.21,0.21,0.22,0.22
FEYE,O,-1,64,265,,2.18,2.18,2.22,2.00,1.91,22,-0.76,-0.76,-0.76,-0.85,-0.87
BIDU,O,-1,59,265,,1.50,1.50,1.50,1.44,1.22,8,0.78,0.78,0.78,1.07,0.97
USB,N,-1,183,265,,2.44,2.44,2.47,2.58,2.58,18,0.80,0.80,0.80,0.80,0.82
PXD,N,-1,87,265,,1.58,1.58,1.64,1.70,1.70,26,-0.09,-0.09,-0.09,0.00,0.01
HCA,N,-1,21,265,,1.42,1.40,1.40,1.40,1.40,19,1.36,1.36,1.36,1.36,1.36
BLK,N,-1,180,265,,1.77,1.77,1.77,1.77,1.77,15,4.81,4.81,4.81,4.79,5.03
FOXA,O,-1,217,265,,1.95,1.95,1.90,1.90,1.95,19,0.44,0.44,0.44,0.45,0.45
VIPS,N,-1,64,265,,1.50,1.50,1.67,1.22,1.22,8,0.16,0.16,0.16,0.16,0.16
BRCM,O,-1,34,265,,2.60,2.60,2.62,2.63,2.57,24,0.71,0.71,0.71,0.71,0.71
LVS,N,-1,98,265,,2.25,2.25,2.25,2.25,2.18,12,0.64,0.64,0.64,0.64,0.65
SCTY,O,-1,18,265,,1.42,1.42,1.46,1.46,1.29,13,-2.60,-2.60,-2.63,-2.34,-2.34
SOHU,O,-1,59,265,,2.57,2.57,2.34,2.34,2.45,3,-0.88,-0.88,-0.88,NA,NA
TXN,O,-1,74,265,,2.33,2.33,2.38,2.38,2.23,27,0.69,0.69,0.69,0.69,0.62
FL,N,-1,218,265,,1.71,1.76,1.76,1.65,1.69,17,1.12,1.12,1.12,1.13,1.13
MDT,N,-1,54,265,,1.62,1.62,1.62,1.64,1.71,17,1.07,1.07,1.10,1.10,1.10
ILMN,O,-1,61,265,,1.89,1.89,1.89,1.89,1.67,18,0.79,0.79,0.79,0.79,0.92
YY,O,-1,80,265,,1.00,1.00,1.00,1.00,1.00,4,NA,NA,NA,NA,NA
ABT,N,-1,134,265,,1.62,1.62,1.74,1.74,1.85,17,0.62,0.62,0.62,0.62,0.63
GOOGL,O,-1,59,265,,1.21,1.21,1.21,1.22,1.16,33,6.65,6.65,6.65,6.61,6.73
LPG,N,-1,96,265,,1.00,1.00,1.00,1.00,1.00,4,0.62,0.62,0.62,0.38,0.41
BBRY,O,-1,98,265,,2.82,2.71,2.72,2.74,2.85,17,-0.07,-0.13,-0.13,-0.13,-0.03
KMB,N,-1,144,265,,2.42,2.42,2.42,2.42,2.42,12,1.43,1.43,1.43,1.44,1.45
VRX,N,-1,51,265,,1.79,1.79,1.64,1.69,1.64,14,2.58,2.59,3.57,4.05,4.00
NOK,N,-1,192,265,,2.33,2.33,2.33,2.23,2.33,12,0.12,0.12,0.12,0.11,0.11
GS,N,-1,136,265,,2.46,2.46,2.50,2.50,2.77,13,4.25,4.34,4.79,4.80,5.12
GG,N,-1,144,265,,1.69,1.69,1.69,1.69,1.69,18,0.04,0.04,0.04,0.05,0.07
GE,N,-1,150,265,,1.82,1.82,1.82,1.90,2.00,11,0.50,0.50,0.52,0.52,0.54
GM,N,-1,71,265,,2.00,2.00,2.00,2.00,1.92,13,1.19,1.19,1.19,1.18,1.15
SAP,N,-1,74,265,,2.17,2.17,2.17,2.17,2.09,12,1.23,1.23,1.23,1.23,1.28
JAH,N,-1,98,265,,1.71,1.71,1.13,1.15,1.15,14,1.19,1.19,1.20,1.23,1.23
WYNN,O,-1,98,265,,2.33,2.33,2.33,2.29,2.38,15,0.65,0.65,0.65,0.65,0.67
AAPL,O,-1,251,265,,1.66,1.66,1.68,1.61,1.79,32,3.26,3.26,3.26,3.18,3.15
VIAV,O,-1,39,265,,2.17,2.17,2.17,2.17,2.17,12,0.02,0.02,0.02,0.06,0.06
D,N,-1,159,265,,1.81,1.81,1.81,1.81,1.88,13,0.89,0.89,0.89,0.94,0.94
HD,N,-1,27,265,,1.94,1.94,1.94,1.94,1.94,18,1.10,1.10,1.10,1.10,1.10
YHOO,O,-1,59,265,,1.72,1.72,1.72,1.75,1.56,29,0.05,0.05,0.04,0.04,0.10
ADI,O,-1,156,265,,1.86,1.86,1.68,1.68,1.71,22,0.69,0.69,0.70,0.72,0.72
JUNO,O,-1,61,265,,1.40,1.40,1.40,1.40,1.33,5,-0.54,-0.54,-0.54,-0.52,-0.52
QUNR,O,-1,59,265,,2.00,2.00,2.00,2.00,1.50,4,-0.83,-0.83,-1.18,-1.18,-1.18
PANW,N,-1,39,265,,1.50,1.50,1.50,1.60,1.54,27,-0.20,-0.20,-0.20,-0.20,-0.20
IR,N,-1,221,265,,1.83,1.83,1.83,1.83,1.83,15,0.93,0.93,0.93,0.97,0.99
CLD,N,-1,98,265,,2.80,2.80,2.80,2.64,2.50,10,-0.15,-0.15,-0.15,-0.11,-0.10
CTRP,O,-1,141,265,,1.09,1.09,1.09,1.00,1.17,11,-0.01,-0.01,-0.02,0.02,0.05
TRV,N,-1,34,265,,2.71,2.71,2.61,2.50,2.53,17,2.66,2.66,2.66,2.66,2.64
QIHU,N,-1,61,265,,1.33,1.33,1.33,1.33,1.33,6,0.71,0.71,0.71,0.71,0.71
PFE,N,-1,134,265,,1.54,1.54,1.54,1.71,1.81,12,0.51,0.51,0.51,0.50,0.50
GIS,N,-1,96,265,,2.64,2.64,2.64,2.64,2.62,14,0.62,0.64,0.66,0.66,0.66
MJN,N,-1,96,265,,2.27,2.27,2.27,2.27,2.22,11,0.73,0.73,0.73,0.76,0.95
BABA,N,-1,141,265,,1.42,1.42,1.42,1.36,1.36,19,0.65,0.65,0.64,0.60,0.61
TSLA,O,-1,71,265,,3.00,3.00,3.00,3.00,2.63,16,-0.34,-0.34,-0.34,-0.47,-0.18
ALXN,O,-1,61,265,,1.43,1.43,1.43,1.43,1.47,15,0.91,0.91,0.92,0.96,1.11
MHK,N,-1,230,265,,1.38,1.38,1.38,1.43,1.38,8,2.74,2.74,2.74,2.81,2.80
NVS,N,-1,134,265,,1.86,1.86,1.75,1.75,1.75,7,1.29,1.29,1.29,1.45,1.45
NKE,N,-1,98,265,,1.35,1.35,1.35,1.35,1.54,24,0.49,0.53,0.53,0.53,0.52
CYOU,O,-1,80,265,,3.92,3.92,3.92,3.92,3.92,4,0.58,0.58,0.58,0.53,0.62
CBI,N,-1,98,265,,1.85,1.85,2.00,2.00,1.93,13,1.33,1.33,1.33,1.56,1.57
NVDA,O,-1,74,265,,2.10,2.10,2.10,2.35,2.32,21,0.33,0.33,0.33,0.27,0.27
BLUE,O,-1,61,265,,1.46,1.46,1.05,1.04,1.20,13,-1.13,-1.13,-1.15,-1.05,-1.02
KO,N,-1,175,265,,2.09,2.09,2.09,2.15,2.14,16,0.37,0.37,0.37,0.37,0.40
KR,N,-1,85,265,,1.57,1.57,1.75,1.75,1.81,15,0.54,0.54,0.53,0.53,0.53
JPM,N,-1,183,265,,1.50,1.50,1.50,1.59,1.59,16,1.31,1.31,1.32,1.32,1.46
PLD,N,-1,30,265,,1.38,1.38,1.25,1.13,1.17,16,0.62,0.62,0.62,0.62,0.61
SIVB,O,-1,39,265,,1.35,1.35,1.35,1.46,1.33,13,1.53,1.53,1.53,1.53,1.64
MTB,N,-1,183,265,,2.47,2.47,2.47,2.47,2.44,15,2.01,2.01,2.02,2.04,2.12
T,N,-1,42,265,,1.81,1.81,1.81,1.81,1.86,21,0.63,0.63,0.63,0.63,0.62
CRUS,O,-1,51,265,,1.50,1.50,1.40,1.40,1.67,6,0.92,0.92,0.92,0.83,0.83
